summary_period,source_file,summary_level,row_count,start_time,end_time,plant_total_electricity_kwh_latest,plant_total_carbon_kg_latest,outside_plant_electricity_kwh_sum,outside_plant_carbon_kg_sum,inside_plant_electricity_kwh_sum,inside_plant_carbon_kg_sum,intake_electricity_kwh_sum,intake_carbon_kg_sum,supply_electricity_kwh_sum,supply_carbon_kg_sum,outside_plant_share_avg,inside_plant_share_avg,intake_share_avg,supply_share_avg
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,1126.928571428571,594.00405,21999.684065488887,11596.033470919194,277.6469841269842,146.34772533333336,21999.684065488887,11596.033470919194,0.0,0.0,0.9867495014442165,0.013250498555783358,0.9867495014442165,0.0
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,2286.066984126984,1204.9859073333332,150639.27093755832,79401.959711187,1713.0932804232807,902.9714681111111,133493.69159389168,70364.5248391403,17145.579343666668,9037.434872046699,0.9886977424460781,0.011302257553921913,0.8997549292976111,0.08894281314846683
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,2286.066984126984,1204.9859073333332,713773.5545090459,376230.04058171815,7970.594867724868,4201.3005547777775,633843.7150010458,334099.0221770513,79929.839508,42131.0184046668,0.9889727305881328,0.011027269411867218,0.9045673434399836,0.08440538714814902
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,260203.7158795932,137153.3786401336,8612140.706828589,4539459.36656935,94695.12507938979,49913.80042934635,7873281.429414158,4150006.6414442025,738859.2774144303,389452.7251251463,0.988793595410178,0.011206404589821884,0.906774872596617,0.08201872281356092
