period_start,plant_total_electricity_kwh,plant_total_carbon_kg,outside_plant_electricity_kwh,outside_plant_carbon_kg,inside_plant_electricity_kwh,inside_plant_carbon_kg,intake_electricity_kwh,intake_carbon_kg,supply_electricity_kwh,supply_carbon_kg,outside_plant_share,inside_plant_share,intake_share,supply_share
2025-06-30 00:00:00+00:00,612506.2760350447,322852.058098072,602176.4205684774,317407.1912816444,10329.855466567333,5444.8668164276405,544461.1010588106,286985.4463680991,57715.31950966667,30421.7449135453,0.9831351026581542,0.0168648973418458,0.8889069750979323,0.0942281275602218
2025-07-31 00:00:00+00:00,576661.8394334755,303958.455565385,569849.4359387564,300367.6376833186,6812.403494719116,3590.817882066446,515542.4193685929,271742.4092491853,54307.01657016359,28625.22843413323,0.9881864846451228,0.0118135153548772,0.8940116791412318,0.094174805503891
2025-08-31 00:00:00+00:00,822686.9473602046,433638.2899535639,813982.8987887761,429050.3859515639,8704.048571428571,4587.904002000001,770994.4902846095,406391.19582901767,42988.40850416667,22659.19012254625,0.989419974877008,0.010580025122992,0.9371663094431444,0.0522536654338635
2025-09-30 00:00:00+00:00,782653.7593521996,412536.7965545444,774676.9758287488,408332.2339593335,7976.783523450812,4204.562595210923,745549.3663119822,392979.0709830458,29127.609516766668,15353.162976287713,0.9898080301434274,0.0101919698565725,0.9525915609593076,0.0372164691841198
2025-10-31 00:00:00+00:00,687518.3465197355,362390.9204505526,679359.8797979921,358090.59264152165,8158.466721743389,4300.32780903094,676135.6323066588,356391.09178883984,3224.247491333333,1699.5008526818,0.9881334559826044,0.0118665440173954,0.9834437665980889,0.0046896893845156
2025-11-30 00:00:00+00:00,669401.9837378395,352841.7856282152,662008.3139105878,348944.5822622708,7393.669827251746,3897.203365944396,662008.3139105878,348944.5822622708,0.0,0.0,0.9889548133903538,0.0110451866096461,0.9889548133903538,0.0
2025-12-31 00:00:00+00:00,968358.026066732,510421.5155397744,960097.1029450388,506067.18296233006,8260.923121693122,4354.332577444446,734993.6232587055,387415.1388196637,225103.47968633333,118652.0441426663,0.991469143747125,0.008530856252875,0.759010204360154,0.232458939386971
2026-01-31 00:00:00+00:00,881454.1641468664,464614.4899218133,873282.5221891945,460307.2174459244,8171.641957671959,4307.272475888889,741830.8638518611,391019.048336316,131451.65833733333,69288.1691096084,0.9907293625805478,0.0092706374194522,0.8415989101031219,0.1491304524774257
2026-02-28 00:00:00+00:00,540832.2925629771,285072.70140994526,533514.8015576861,281215.65190105635,7317.491005291006,3857.0495088888897,515532.9312371861,271737.4080551208,17981.8703205,9478.24384593555,0.9864699443692354,0.0135300556307645,0.953221429870804,0.0332485144984313
2026-03-31 00:00:00+00:00,1033397.0587421822,544703.5896630043,1024711.2786753608,540125.3149897828,8685.780066821402,4578.274673221561,953907.398203194,502804.5895929037,70803.88047216667,37320.725396879054,0.9915949247258422,0.0084050752741578,0.9230792657415338,0.0685156589843083
2026-04-30 00:00:00+00:00,871161.4220711279,459189.1855736915,861092.8956690115,453882.065307136,10068.526402116404,5307.120266555557,790723.3573406781,416790.2816542715,70369.53832833334,37091.7836528645,0.9884424101584076,0.0115575898415923,0.9076657176356436,0.080776692522764
2026-05-31 00:00:00+00:00,260203.7158795932,137153.3786401336,257388.18095895828,135669.31018346694,2815.534920634921,1484.0684566666669,221601.93228129164,116806.37850546883,35786.24867766667,18862.9316779981,0.989179497644308,0.0108205023556918,0.851647838818089,0.1375316588262191
