period_start,plant_total_electricity_kwh,plant_total_carbon_kg,outside_plant_electricity_kwh,outside_plant_carbon_kg,inside_plant_electricity_kwh,inside_plant_carbon_kg,intake_electricity_kwh,intake_carbon_kg,supply_electricity_kwh,supply_carbon_kg,outside_plant_share,inside_plant_share,intake_share,supply_share
2026-05-10 02:00:00+00:00,1106.9607966507938,583.4790359146334,1096.0666696666667,577.7367415813001,10.894126984126986,5.742294333333334,1096.0666696666667,577.7367415813001,0.0,0.0,0.9901585250199572,0.0098414749800427,0.9901585250199572,0.0
2026-05-10 03:00:00+00:00,1106.682863142857,583.3325371626,1096.5333393333333,577.9827231626,10.149523809523812,5.349814,1096.5333393333333,577.9827231626,0.0,0.0,0.9908288777683786,0.0091711222316213,0.9908288777683786,0.0
2026-05-10 04:00:00+00:00,1109.211910761905,584.6655981626001,1096.466672666667,577.9475831626,12.745238095238095,6.718015,1096.466672666667,577.9475831626,0.0,0.0,0.9885096454774962,0.0114903545225037,0.9885096454774962,0.0
2026-05-10 05:00:00+00:00,1106.1961944761904,583.0760141083999,1096.100004,577.7543121084,10.096190476190475,5.321702,1096.100004,577.7543121084,0.0,0.0,0.9908730562204012,0.0091269437795989,0.9908730562204012,0.0
2026-05-10 06:00:00+00:00,698.6252406285713,368.24536433532,687.9933358666666,362.64128733532,10.631904761904764,5.604077,687.9933358666666,362.64128733532,0.0,0.0,0.9847816767222166,0.0152183232777833,0.9847816767222166,0.0
2026-05-10 07:00:00+00:00,828.3081052380952,436.601202271,818.0333433333333,431.185375271,10.274761904761906,5.415827000000001,818.0333433333333,431.185375271,0.0,0.0,0.9875954830819766,0.0124045169180234,0.9875954830819766,0.0
2026-05-10 08:00:00+00:00,735.0533440833333,387.446617666325,720.4977885277777,379.7743843329917,14.555555555555555,7.672233333333334,720.4977885277777,379.7743843329917,0.0,0.0,0.9801979602259924,0.0198020397740077,0.9801979602259924,0.0
2026-05-10 09:00:00+00:00,984.6290690857144,518.99798231508,972.0200214666668,512.35175331508,12.60904761904762,6.646229000000001,972.0200214666668,512.35175331508,0.0,0.0,0.9871941139918246,0.0128058860081755,0.9871941139918246,0.0
2026-05-10 10:00:00+00:00,1138.7879470079365,600.2551268678833,1126.6000105,593.83086553455,12.18793650793651,6.424261333333334,1126.6000105,593.83086553455,0.0,0.0,0.9892974486251288,0.0107025513748711,0.9892974486251288,0.0
2026-05-10 11:00:00+00:00,1141.6385869285716,601.75769917005,1130.9000155,596.09739817005,10.738571428571433,5.6603010000000005,1130.9000155,596.09739817005,0.0,0.0,0.9905937206822502,0.0094062793177498,0.9905937206822502,0.0
2026-05-10 12:00:00+00:00,1020.2673110873016,537.7828996741167,1007.7000095,531.15867500745,12.56730158730159,6.624224666666668,1007.7000095,531.15867500745,0.0,0.0,0.9876823441751664,0.0123176558248333,0.9876823441751664,0.0
2026-05-10 13:00:00+00:00,1083.12747831746,570.9164938211333,1070.300018,564.1551394877999,12.82746031746032,6.761354333333334,1070.300018,564.1551394877999,0.0,0.0,0.9881570169954634,0.0118429830045366,0.9881570169954634,0.0
2026-05-10 14:00:00+00:00,1181.842887142857,622.949385813,1171.3333633333332,617.409815813,10.509523809523811,5.539570000000001,1171.3333633333332,617.409815813,0.0,0.0,0.9911075119003924,0.0088924880996076,0.9911075119003924,0.0
2026-05-10 15:00:00+00:00,960.0519216619048,506.0433679079901,949.3733502333332,500.41469290799006,10.67857142857143,5.628675000000001,949.3733502333332,500.41469290799006,0.0,0.0,0.98887708967856,0.0111229103214399,0.98887708967856,0.0
2026-05-10 16:00:00+00:00,618.6769312169312,326.10461044444446,604.2666666666667,318.50896,14.410264550264552,7.595650444444445,604.2666666666667,318.50896,0.0,0.0,0.9767079329725132,0.0232920670274867,0.9767079329725132,0.0
2026-05-10 17:00:00+00:00,760.993253968254,401.1195441666667,750.7261111111111,395.7077331666667,10.267142857142858,5.411811,750.7261111111111,395.7077331666667,0.0,0.0,0.9865082340696136,0.0134917659303865,0.9865082340696136,0.0
2026-05-10 18:00:00+00:00,606.5398941798942,319.70717822222224,594.6666666666666,313.4488,11.873227513227516,6.258378222222222,594.6666666666666,313.4488,0.0,0.0,0.9804246552829284,0.0195753447170715,0.9804246552829284,0.0
2026-05-10 19:00:00+00:00,606.6607936507936,319.77090433333336,594.04,313.118484,12.620793650793654,6.652420333333334,594.04,313.118484,0.0,0.0,0.9791962925857732,0.0208037074142266,0.9791962925857732,0.0
2026-05-10 20:00:00+00:00,848.6428591428571,447.3196510542,838.9333353333333,442.2017610542,9.70952380952381,5.117890000000001,838.9333353333333,442.2017610542,0.0,0.0,0.9885587633184936,0.0114412366815065,0.9885587633184936,0.0
2026-05-10 21:00:00+00:00,677.9319067619048,357.3379080542,667.6333353333333,351.9095310542,10.298571428571432,5.428377000000001,667.6333353333333,351.9095310542,0.0,0.0,0.984808840938374,0.0151911590616258,0.984808840938374,0.0
2026-05-10 22:00:00+00:00,666.7761923095238,351.45773096635,654.5333351666667,345.00452096635,12.242857142857144,6.45321,654.5333351666667,345.00452096635,0.0,0.0,0.9816387308304284,0.0183612691695715,0.9816387308304284,0.0
2026-05-10 23:00:00+00:00,1003.6585780452382,529.028436487645,992.9666732833334,523.3927334876449,10.691904761904764,5.635703,992.9666732833334,523.3927334876449,0.0,0.0,0.989347069814589,0.0106529301854109,0.989347069814589,0.0
2026-05-11 00:00:00+00:00,1159.1384126984126,610.9818573333333,1147.0,604.5837,12.1384126984127,6.398157333333334,1147.0,604.5837,0.0,0.0,0.98952807312273,0.01047192687727,0.98952807312273,0.0
2026-05-11 01:00:00+00:00,1126.928571428571,594.00405,1115.0,587.7165,11.92857142857143,6.287550000000001,1115.0,587.7165,0.0,0.0,0.98941497116055,0.0105850288394498,0.98941497116055,0.0
