hour,ADJP11_runtime_h,ADJP11_power_kW,ADJP11_energy_kWh,ADJP11_carbon_kg,ADJP21_runtime_h,ADJP21_power_kW,ADJP21_energy_kWh,ADJP21_carbon_kg,ADJP22_runtime_h,ADJP22_power_kW,ADJP22_energy_kWh,ADJP22_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-09-28 00:00:00+00:00,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,0.0
2025-10-05 00:00:00+00:00,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,0.0
2025-10-12 00:00:00+00:00,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,0.0
2025-10-19 00:00:00+00:00,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,1938.4615384615383,0.0,0.0,0.0,0.0
2025-10-26 00:00:00+00:00,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0
