hour,ADJP11_runtime_h,ADJP11_power_kW,ADJP11_energy_kWh,ADJP11_carbon_kg,ADJP21_runtime_h,ADJP21_power_kW,ADJP21_energy_kWh,ADJP21_carbon_kg,ADJP22_runtime_h,ADJP22_power_kW,ADJP22_energy_kWh,ADJP22_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-10-21 04:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 05:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 06:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 07:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 08:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 09:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 10:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 11:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 12:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 13:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 14:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 15:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 16:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 17:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 18:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 19:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 20:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 21:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 22:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-21 23:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-22 00:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-22 01:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-22 02:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
2025-10-22 03:00:00+00:00,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0
