period_start,process_stage,stage_total_carbon_kg,plant_total_carbon_kg,stage_share_of_plant
2025-06-30 00:00:00+00:00,01_原水取水段,293656.077277678,474296.7328938663,0.6191399959387652
2025-06-30 00:00:00+00:00,06_深度处理,93100.17237886509,474296.7328938663,0.1962909839391581
2025-06-30 00:00:00+00:00,07_污泥处理,52231.39962354984,474296.7328938663,0.110123886590713
2025-06-30 00:00:00+00:00,02_供水段,30421.7449135453,474296.7328938663,0.0641407431333767
2025-06-30 00:00:00+00:00,04_混凝沉淀,2264.723119067797,474296.7328938663,0.0047749076938604
2025-06-30 00:00:00+00:00,03_预处理,2145.3794595444915,474296.7328938663,0.0045232853417621
2025-06-30 00:00:00+00:00,05_过滤,477.2361216158192,474296.7328938663,0.0010061973623643
2025-07-31 00:00:00+00:00,05_过滤,372.28693594686905,343691.86097418,0.0010831997443629
2025-07-31 00:00:00+00:00,03_预处理,1727.590725772603,343691.86097418,0.0050265686271296
2025-07-31 00:00:00+00:00,04_混凝沉淀,1891.0089000000005,343691.86097418,0.0055020473706884
2025-07-31 00:00:00+00:00,06_深度处理,33509.01644991601,343691.86097418,0.0974972650063231
2025-07-31 00:00:00+00:00,02_供水段,28625.22843413323,343691.86097418,0.0832874783621475
2025-07-31 00:00:00+00:00,01_原水取水段,272051.1928565808,343691.86097418,0.79155552908778
2025-07-31 00:00:00+00:00,07_污泥处理,5515.5366718305,343691.86097418,0.0160479118015682
2025-08-31 00:00:00+00:00,05_过滤,501.918676,448305.6030836539,0.001119590459159
2025-08-31 00:00:00+00:00,07_污泥处理,0.0,448305.6030836539,0.0
2025-08-31 00:00:00+00:00,04_混凝沉淀,2464.6618700000004,448305.6030836539,0.0054977271152689
2025-08-31 00:00:00+00:00,03_预处理,1736.3550395,448305.6030836539,0.0038731504303237
2025-08-31 00:00:00+00:00,02_供水段,22659.19012254625,448305.6030836539,0.0505440707559437
2025-08-31 00:00:00+00:00,01_原水取水段,406796.55466854846,448305.6030836539,0.9074090349761704
2025-08-31 00:00:00+00:00,06_深度处理,14146.922707059186,448305.6030836539,0.031556426263134
2025-09-30 00:00:00+00:00,07_污泥处理,0.0,453432.3430816798,0.0
2025-09-30 00:00:00+00:00,03_预处理,2193.782701016949,453432.3430816798,0.0048381698714018
2025-09-30 00:00:00+00:00,04_混凝沉淀,2198.128735,453432.3430816798,0.0048477546177248
2025-09-30 00:00:00+00:00,05_过滤,468.0721324143126,453432.3430816798,0.0010322866014213
2025-09-30 00:00:00+00:00,06_深度处理,39725.27405991416,453432.3430816798,0.0876101466206132
2025-09-30 00:00:00+00:00,01_原水取水段,393493.92247704667,453432.3430816798,0.8678117661451512
2025-09-30 00:00:00+00:00,02_供水段,15353.162976287713,453432.3430816798,0.0338598761436875
2025-10-31 00:00:00+00:00,05_过滤,509.7458672196767,381164.70637247065,0.0013373375307249
2025-10-31 00:00:00+00:00,01_原水取水段,356820.3108494944,381164.70637247065,0.9361315590977428
2025-10-31 00:00:00+00:00,06_深度处理,17705.817561280986,381164.70637247065,0.046451880946131
2025-10-31 00:00:00+00:00,04_混凝沉淀,2335.4194600000005,381164.70637247065,0.0061270611390705
2025-10-31 00:00:00+00:00,03_预处理,2093.0098551271485,381164.70637247065,0.0054910903872665
2025-10-31 00:00:00+00:00,02_供水段,1699.5008526818,381164.70637247065,0.004458704660397
2025-10-31 00:00:00+00:00,07_污泥处理,0.9019266666666668,381164.70637247065,2.366238666875186e-06
2025-11-30 00:00:00+00:00,05_过滤,426.5739069443948,391272.5898117852,0.001090221799461
2025-11-30 00:00:00+00:00,02_供水段,0.0,391272.5898117852,0.0
2025-11-30 00:00:00+00:00,03_预处理,1844.593295416667,391272.5898117852,0.0047143432569707
2025-11-30 00:00:00+00:00,07_污泥处理,0.0,391272.5898117852,0.0
2025-11-30 00:00:00+00:00,06_深度处理,37185.03854592038,391272.5898117852,0.0950361449132115
2025-11-30 00:00:00+00:00,01_原水取水段,349589.9136635038,391272.5898117852,0.8934689594067089
2025-11-30 00:00:00+00:00,04_混凝沉淀,2226.4704000000006,391272.5898117852,0.0056903306236478
2025-12-31 00:00:00+00:00,05_过滤,501.4517044444444,603179.6753655607,0.0008313471506488
2025-12-31 00:00:00+00:00,03_预处理,2307.0524442916667,603179.6753655607,0.0038248179415088
2025-12-31 00:00:00+00:00,04_混凝沉淀,2464.7447000000006,603179.6753655607,0.0040862529038403
2025-12-31 00:00:00+00:00,07_污泥处理,0.0,603179.6753655607,0.0
2025-12-31 00:00:00+00:00,02_供水段,118652.0441426663,603179.6753655607,0.1967109453261277
2025-12-31 00:00:00+00:00,01_原水取水段,387867.4395783347,603179.6753655607,0.6430379792609313
2025-12-31 00:00:00+00:00,06_深度处理,91386.94279582356,603179.6753655607,0.1515086574169429
2026-01-31 00:00:00+00:00,01_原水取水段,391712.7861327334,484231.409960511,0.8089371694510223
2026-01-31 00:00:00+00:00,02_供水段,69288.1691096084,484231.409960511,0.1430889605349203
2026-01-31 00:00:00+00:00,06_深度处理,18350.106953238705,484231.409960511,0.0378953256145344
2026-01-31 00:00:00+00:00,04_混凝沉淀,2465.0208,484231.409960511,0.0050905842729223
2026-01-31 00:00:00+00:00,03_预处理,1911.8543200416668,484231.409960511,0.0039482245073643
2026-01-31 00:00:00+00:00,05_过滤,503.4726448888889,484231.409960511,0.0010397356192361
2026-01-31 00:00:00+00:00,07_污泥处理,0.0,484231.409960511,0.0
2026-02-28 00:00:00+00:00,05_过滤,458.08230688888887,287859.30099399603,0.0015913409964767
2026-02-28 00:00:00+00:00,07_污泥处理,0.0,287859.30099399603,0.0
2026-02-28 00:00:00+00:00,03_预处理,1336.0118758750002,287859.30099399603,0.0046411975269225
2026-02-28 00:00:00+00:00,06_深度处理,354.41149800000005,287859.30099399603,0.001231196965935
2026-02-28 00:00:00+00:00,02_供水段,9478.24384593555,287859.30099399603,0.0329266548386888
2026-02-28 00:00:00+00:00,01_原水取水段,274013.2596672966,287859.30099399603,0.951899968912284
2026-02-28 00:00:00+00:00,04_混凝沉淀,2219.2918000000004,287859.30099399603,0.0077096407596928
2026-03-31 00:00:00+00:00,01_原水取水段,524091.77984252514,566242.582195959,0.925560521799742
2026-03-31 00:00:00+00:00,02_供水段,37320.725396879054,566242.582195959,0.0659094292275664
2026-03-31 00:00:00+00:00,04_混凝沉淀,2372.4444700000004,566242.582195959,0.0041898022942735
2026-03-31 00:00:00+00:00,03_预处理,1107.766216474015,566242.582195959,0.0019563456569761
2026-03-31 00:00:00+00:00,06_深度处理,625.3803858305085,566242.582195959,0.0011044389904503
2026-03-31 00:00:00+00:00,05_过滤,490.3714909170371,566242.582195959,0.0008660095625717
2026-03-31 00:00:00+00:00,07_污泥处理,234.1143933333333,566242.582195959,0.0004134524684198
2026-04-30 00:00:00+00:00,05_过滤,482.9016888888888,460289.082408887,0.0010491269668219
2026-04-30 00:00:00+00:00,06_深度处理,646.1297220000001,460289.082408887,0.0014037476592286
2026-04-30 00:00:00+00:00,07_污泥处理,1137.3295266666669,460289.082408887,0.0024709026786265
2026-04-30 00:00:00+00:00,02_供水段,37091.7836528645,460289.082408887,0.0805836702855248
2026-04-30 00:00:00+00:00,04_混凝沉淀,2179.50579,460289.082408887,0.0047350803512299
2026-04-30 00:00:00+00:00,01_原水取水段,417209.7510103002,460289.082408887,0.9064080964659548
2026-04-30 00:00:00+00:00,03_预处理,1541.6810181666667,460289.082408887,0.0033493755926132
2026-05-31 00:00:00+00:00,05_过滤,169.34551666666664,137916.04252843573,0.0012278884570788
2026-05-31 00:00:00+00:00,01_原水取水段,116945.79795627097,137916.04252843573,0.8479492001966262
2026-05-31 00:00:00+00:00,02_供水段,18862.9316779981,137916.04252843573,0.1367711205468277
2026-05-31 00:00:00+00:00,03_预处理,921.8390575,137916.04252843573,0.0066840596684749
2026-05-31 00:00:00+00:00,04_混凝沉淀,799.2266700000001,137916.04252843573,0.0057950232282456
2026-05-31 00:00:00+00:00,06_深度处理,216.90165000000005,137916.04252843573,0.0015727079027465
2026-05-31 00:00:00+00:00,07_污泥处理,0.0,137916.04252843573,0.0
