hour,SSBF_AI1_runtime_h,SSBF_AI1_power_kW,SSBF_AI1_energy_kWh,SSBF_AI1_carbon_kg,SSBF_AI2_runtime_h,SSBF_AI2_power_kW,SSBF_AI2_energy_kWh,SSBF_AI2_carbon_kg,SSBF_AI3_runtime_h,SSBF_AI3_power_kW,SSBF_AI3_energy_kWh,SSBF_AI3_carbon_kg,SSBF_AI4_runtime_h,SSBF_AI4_power_kW,SSBF_AI4_energy_kWh,SSBF_AI4_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,274.9257674199623,782.0276986385692,782.0276986385692,412.2067999523898,52.11388888888889,28389.46671187864,28389.46671187864,14964.087903831232,144.6932956685499,2346.6067760114843,2346.6067760114843,1236.8964316356537,68.77277777777778,26197.21832313797,26197.21832313797,13808.553778126026,57715.31950966667,30421.7449135453
2025-07-31 00:00:00+00:00,166.55926115373686,57.58959593096832,57.58959593096832,30.355476015213405,79.55681333987586,26445.21855155506,26445.21855155506,13939.274698524672,105.828180591077,0.0,0.0,0.0,121.08253884007756,27804.20842267757,27804.20842267757,14655.598259593346,54307.01657016359,28625.22843413323
2025-08-31 00:00:00+00:00,250.5847222222222,2828.826226668857,2828.826226668857,1491.074304077155,40.806666666666665,21151.83982494972,21151.83982494972,11149.134771730998,228.02638888888887,19.00706114209225,19.00706114209225,10.018621927996827,113.89388888888888,18988.735391406,18988.735391406,10008.9624248101,42988.40850416667,22659.19012254625
2025-09-30 00:00:00+00:00,290.7654143126177,94.573144997204,94.573144997204,49.84950472802623,27.41,13972.32472261175,13972.32472261175,7364.812361288653,195.64446798493407,66.67716068373763,66.67716068373763,35.1455313963981,62.23166666666666,14994.034488473975,14994.034488473975,7903.355578874633,29127.609516766668,15353.162976287713
2025-10-31 00:00:00+00:00,361.1040808610764,1735.7991905844226,1735.7991905844226,914.9397533570492,2.9813888888888886,1455.0033023609308,1455.0033023609308,766.9322406744466,161.7531514338965,33.44499838798019,33.44499838798019,17.62885865030436,0.0,0.0,0.0,0.0,3224.247491333333,1699.5008526818
2025-11-30 00:00:00+00:00,325.1356105659629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.77218604420656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-31 00:00:00+00:00,34.68722222222222,37.92624629710371,37.92624629710371,19.990924423203367,208.9008333333333,112705.51027497053,112705.51027497053,59407.07446593697,9.248333333333331,0.0,0.0,0.0,335.27694444444444,112360.0431650657,112360.0431650657,59224.97875230613,225103.47968633333,118652.0441426663
2026-01-31 00:00:00+00:00,185.64,2602.9929940646043,2602.9929940646043,1372.037607171453,121.11083333333332,66240.67035638026,66240.67035638026,34915.45734484804,84.25222222222222,134.32707728892868,134.32707728892868,70.80380243899431,176.78666666666666,62473.667909599535,62473.667909599535,32929.87035514991,131451.65833733333,69288.1691096084
2026-02-28 00:00:00+00:00,255.42795454545453,8181.035724348562,8181.035724348562,4312.223930304127,16.25583333333333,8427.391970541823,8427.391970541823,4442.078307672595,10.579444444444444,0.0,0.0,0.0,53.56527777777777,1373.4426256096144,1373.4426256096144,723.9416079588277,17981.8703205,9478.24384593555
2026-03-31 00:00:00+00:00,256.0059009950696,1423.1069567413165,1423.1069567413165,750.1196768983478,64.43916666666667,34943.28025641616,34943.28025641616,18418.60302315696,94.23611581920903,147.00813567402156,147.00813567402156,77.48798831377675,132.50331699346404,34290.485123335166,34290.485123335166,18074.514708509967,70803.88047216667,37320.725396879054
2026-04-30 00:00:00+00:00,275.73,12574.510086775364,12574.510086775364,6628.024266739294,64.44416666666666,35696.71798389504,35696.71798389504,18815.74004931108,113.19305555555556,84.92209147189611,84.92209147189611,44.76243441483644,79.75,22013.38816619104,22013.38816619104,11603.256902399296,70369.53832833334,37091.7836528645
2026-05-31 00:00:00+00:00,0.0,0.0,0.0,0.0,32.32083333333333,16771.810923385965,16771.810923385965,8840.421537716742,7.4430555555555555,0.0,0.0,0.0,118.3275,19014.4377542807,19014.4377542807,10022.510140281358,35786.24867766667,18862.9316779981
