summary_period,source_file,summary_level,row_count,start_time,end_time,SSBF_AI1_runtime_h_sum,SSBF_AI1_power_kW_sum,SSBF_AI1_energy_kWh_sum,SSBF_AI1_carbon_kg_sum,SSBF_AI2_runtime_h_sum,SSBF_AI2_power_kW_sum,SSBF_AI2_energy_kWh_sum,SSBF_AI2_carbon_kg_sum,SSBF_AI3_runtime_h_sum,SSBF_AI3_power_kW_sum,SSBF_AI3_energy_kWh_sum,SSBF_AI3_carbon_kg_sum,SSBF_AI4_runtime_h_sum,SSBF_AI4_power_kW_sum,SSBF_AI4_energy_kWh_sum,SSBF_AI4_carbon_kg_sum,unit_total_energy_kWh_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9016666666666664,0.0,0.0,0.0,11.816666666666663,0.0,0.0,0.0,0.0,0.0
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,15.514722222222222,8034.417081607837,8034.417081607837,4234.941243715491,7.4430555555555555,0.0,0.0,0.0,71.1275,9111.16226205883,9111.16226205883,4802.493628331209,17145.579343666668,9037.434872046699
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,149.93027777777777,3741.9659905635585,3741.9659905635585,1972.390273626052,72.98444444444443,39996.838516989315,39996.838516989315,21082.333582305066,90.26222222222222,84.92209147189611,84.92209147189611,44.76243441483644,185.3852777777778,36106.11290897523,36106.11290897523,19031.532114320846,79929.839508,42131.0184046668
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,2676.565934298325,30318.387865046974,30318.387865046974,15980.822243666258,710.340424450987,366199.23487894586,366199.23487894586,193023.61670469242,1331.6698975418728,2831.993300660141,2831.993300660141,1492.7436687779605,1262.1905780557638,339509.6613697773,339509.6613697773,178955.5425080096,738859.2774144303,389452.7251251463
