hour,SSBF_AI1_runtime_h,SSBF_AI1_power_kW,SSBF_AI1_energy_kWh,SSBF_AI1_carbon_kg,SSBF_AI2_runtime_h,SSBF_AI2_power_kW,SSBF_AI2_energy_kWh,SSBF_AI2_carbon_kg,SSBF_AI3_runtime_h,SSBF_AI3_power_kW,SSBF_AI3_energy_kWh,SSBF_AI3_carbon_kg,SSBF_AI4_runtime_h,SSBF_AI4_power_kW,SSBF_AI4_energy_kWh,SSBF_AI4_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-05-05 00:00:00+00:00,0.0,0.0,0.0,0.0,4.7363888888888885,2456.3027395379618,2456.3027395379618,1294.7171740104598,0.0,0.0,0.0,0.0,11.8,2845.1340952953715,2845.1340952953715,1499.6701816301904,5301.436834833334,2794.38735564065
2026-05-06 00:00:00+00:00,0.0,0.0,0.0,0.0,1.975833333333333,1002.9372214070172,1002.9372214070172,528.6482094036387,0.0,0.0,0.0,0.0,11.1275,1295.7352799263165,1295.7352799263165,682.9820660491614,2298.672501333333,1211.6302754528
2026-05-07 00:00:00+00:00,0.0,0.0,0.0,0.0,6.218055555555555,3247.736376061089,3247.736376061089,1711.8818438218002,0.0,0.0,0.0,0.0,11.8,3580.520466272244,3580.520466272244,1887.2923377721,6828.256842333333,3599.1741815939
2026-05-08 00:00:00+00:00,0.0,0.0,0.0,0.0,2.5844444444444443,1327.4407446017683,1327.4407446017683,699.6940164795923,1.1483333333333334,0.0,0.0,0.0,11.8,1389.772420564898,1389.772420564898,732.5490428797577,2717.213165166667,1432.24305935935
2026-05-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3930555555555557,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0
2026-05-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9016666666666664,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0
2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
