hour,CDC1_JBJ1_runtime_h,CDC1_JBJ1_power_kW,CDC1_JBJ1_energy_kWh,CDC1_JBJ1_carbon_kg,CDC1_JBJ2_runtime_h,CDC1_JBJ2_power_kW,CDC1_JBJ2_energy_kWh,CDC1_JBJ2_carbon_kg,CDC2_JBJ1_runtime_h,CDC2_JBJ1_power_kW,CDC2_JBJ1_energy_kWh,CDC2_JBJ1_carbon_kg,CDC2_JBJ2_runtime_h,CDC2_JBJ2_power_kW,CDC2_JBJ2_energy_kWh,CDC2_JBJ2_carbon_kg,CDC_GNJ1_runtime_h,CDC_GNJ1_power_kW,CDC_GNJ1_energy_kWh,CDC_GNJ1_carbon_kg,CDC_GNJ2_runtime_h,CDC_GNJ2_power_kW,CDC_GNJ2_energy_kWh,CDC_GNJ2_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 03:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 04:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 05:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 06:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 07:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 08:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 09:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 10:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 11:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 12:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 13:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 14:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 15:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 16:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 17:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 18:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 19:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 20:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 21:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 22:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-10 23:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-11 00:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
2026-05-11 01:00:00+00:00,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,1.0,1.5714285714285716,1.5714285714285716,0.8283000000000001,0.0,4.933333333333334,0.0,0.0,0.0,4.933333333333334,0.0,0.0,6.285714285714287,3.3132000000000006
