summary_period,source_file,summary_level,row_count,start_time,end_time,CDC1_JBJ1_runtime_h_sum,CDC1_JBJ1_power_kW_sum,CDC1_JBJ1_energy_kWh_sum,CDC1_JBJ1_carbon_kg_sum,CDC1_JBJ2_runtime_h_sum,CDC1_JBJ2_power_kW_sum,CDC1_JBJ2_energy_kWh_sum,CDC1_JBJ2_carbon_kg_sum,CDC2_JBJ1_runtime_h_sum,CDC2_JBJ1_power_kW_sum,CDC2_JBJ1_energy_kWh_sum,CDC2_JBJ1_carbon_kg_sum,CDC2_JBJ2_runtime_h_sum,CDC2_JBJ2_power_kW_sum,CDC2_JBJ2_energy_kWh_sum,CDC2_JBJ2_carbon_kg_sum,CDC_GNJ1_runtime_h_sum,CDC_GNJ1_power_kW_sum,CDC_GNJ1_energy_kWh_sum,CDC_GNJ1_carbon_kg_sum,CDC_GNJ2_runtime_h_sum,CDC_GNJ2_power_kW_sum,CDC_GNJ2_energy_kWh_sum,CDC_GNJ2_carbon_kg_sum,unit_total_energy_kWh_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,24.0,37.71428571428572,37.71428571428572,19.879200000000004,24.0,37.71428571428572,37.71428571428572,19.879200000000004,24.0,37.71428571428572,37.71428571428572,19.879200000000004,24.0,37.71428571428572,37.71428571428572,19.879200000000004,0.0,118.4,0.0,0.0,0.0,118.4,0.0,0.0,150.8571428571429,79.51680000000002
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,145.23333333333335,229.42857142857147,228.22380952380956,120.29677000000001,145.23333333333335,229.42857142857147,228.22380952380956,120.29677000000001,145.21666666666667,229.42857142857147,228.19761904761907,120.28296500000002,145.21666666666667,229.42857142857147,228.19761904761907,120.28296500000002,0.0,720.2666666666667,0.0,0.0,0.0,720.2666666666667,0.0,0.0,912.8428571428573,481.15947000000006
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,672.5833333333334,1059.1428571428573,1056.9166666666667,557.1007750000001,673.2333333333333,1059.1428571428573,1057.9380952380955,557.6391700000001,673.2166666666667,1059.1428571428573,1057.911904761905,557.6253650000002,672.5500000000001,1059.1428571428573,1056.8642857142856,557.0731650000001,0.0,3325.066666666667,0.0,0.0,0.0,3325.066666666667,0.0,0.0,4229.630952380952,2229.438475000001
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,7845.649717514125,12595.0,12328.878127522199,6498.551661016951,7845.8830508474575,12595.0,12329.244794188864,6498.74493101695,7777.149717514123,12595.0,12221.23527037934,6441.81311101695,7776.81638418079,12595.0,12220.711460855531,6441.53701101695,0.0,39540.66666666667,0.0,0.0,0.0,39540.66666666667,0.0,0.0,49100.06965294594,25880.6467140678
