hour,JYB1_runtime_h,JYB1_power_kW,JYB1_energy_kWh,JYB1_carbon_kg,JYB2_runtime_h,JYB2_power_kW,JYB2_energy_kWh,JYB2_carbon_kg,JYB3_runtime_h,JYB3_power_kW,JYB3_energy_kWh,JYB3_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-04-19 00:00:00+00:00,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,0.0
2026-04-26 00:00:00+00:00,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,0.0
2026-05-03 00:00:00+00:00,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,0.0
2026-05-10 00:00:00+00:00,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,67.2,0.0,0.0,0.0,0.0
2026-05-17 00:00:00+00:00,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
