hour,O3_WATER_TJB3_4_water_m3_h,O3_WATER_TJB3_4_ozone_dose_g_m3,O3_WATER_TJB3_4_runtime_h,O3_WATER_TJB3_4_chemical_kg,O3_WATER_TJB3_4_carbon_kg,O3_WATER_TJB5_6_water_m3_h,O3_WATER_TJB5_6_ozone_dose_g_m3,O3_WATER_TJB5_6_runtime_h,O3_WATER_TJB5_6_chemical_kg,O3_WATER_TJB5_6_carbon_kg,O3_WATER_TJB7_8_water_m3_h,O3_WATER_TJB7_8_ozone_dose_g_m3,O3_WATER_TJB7_8_runtime_h,O3_WATER_TJB7_8_chemical_kg,O3_WATER_TJB7_8_carbon_kg,O3_WATER_TJB9_10_water_m3_h,O3_WATER_TJB9_10_ozone_dose_g_m3,O3_WATER_TJB9_10_runtime_h,O3_WATER_TJB9_10_chemical_kg,O3_WATER_TJB9_10_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,5501021.277458254,504.0,204.91638418079097,1095.8989611547795,306.85170912333825,5504747.666510103,504.0,1.1833333333333331,6.333304004113333,1.7733251211517334,7737658.722387006,504.0,703.016384180791,5288.596341016994,1480.8069754847586,1489655.7981126634,504.0,706.266384180791,1022.868875739882,286.40328520716696,7413.6974819157695,2075.8352949364157
2025-07-31 00:00:00+00:00,4360909.0133865,399.7,1.8833333333333333,10.072942121736666,2.820423794086267,4363863.090963,399.7,0.0,0.0,0.0,6133992.9375,399.7,241.4,1814.6597284375,508.1047239625,1180917.700401,399.7,565.7633844842285,819.1484906441764,229.3615773803694,2643.881161203413,740.2867251369556
2025-08-31 00:00:00+00:00,5684654.062128,520.8,0.0,0.0,0.0,5688504.843936,520.8,0.0,0.0,0.0,7995954.0,520.8,0.05,0.37615375,0.10532305,1539382.8630720002,520.8,743.9333333333333,1077.4714478776266,301.6920054057355,1077.8476016276263,301.79732845573545
2025-09-30 00:00:00+00:00,5501278.12464,504.0,390.71129943502825,2089.7056489473784,585.1175817052662,5505004.68768,504.0,0.0,0.0,0.0,7738020.0,504.0,0.0,0.0,0.0,1489725.3513600002,504.0,719.4,1041.93873949704,291.7428470591712,3131.644388444419,876.8604287644373
2025-10-31 00:00:00+00:00,5378136.088436394,504.7,127.66666666666669,682.8206783407333,191.18978993540532,5381779.234718788,504.7,0.0,0.0,0.0,7564810.154166667,504.7,0.0,0.0,0.0,1456378.9532744396,504.7,476.95,690.5418984652011,193.3517315702564,1373.3625768059344,384.5415215056617
2025-11-30 00:00:00+00:00,5134526.24832,470.4,34.15,182.6500743543,51.142020819204,5138004.372479999,470.4,0.0166666666666666,0.0892014647999999,0.0249764101439999,7222152.0,470.4,353.6333333333333,2660.4100891666667,744.9148249666666,1390410.32928,470.4,69.33333333333333,100.41852378133332,28.11718665877334,2943.5678887671,824.199008854788
2025-12-31 00:00:00+00:00,5684654.06064,520.8,321.78333333333336,1721.0468450748997,481.893116620972,5688504.84096,520.8,3.0166666666666666,16.145465128799998,4.520730236064,7995954.0,520.8,738.15,5553.157811249999,1554.88418715,1539382.86456,520.8,0.0,0.0,0.0,7290.350121453699,2041.298034007036
2026-01-31 00:00:00+00:00,1514634.305494,520.8,0.0,0.0,0.0,1515660.3176159998,520.8,0.0,0.0,0.0,2130463.191666667,520.8,681.2333333333333,1436.836273736111,402.3141566461111,410157.2533843333,520.8,14.083333333333334,0.0,0.0,1436.836273736111,402.3141566461111
2026-02-28 00:00:00+00:00,0.0,470.4,0.7333333333333334,0.0,0.0,0.0,470.4,0.0,0.0,0.0,0.0,470.4,405.0,0.0,0.0,0.0,470.4,0.0,0.0,0.0,0.0,0.0
2026-03-31 00:00:00+00:00,0.0,520.8,144.36666666666667,0.0,0.0,0.0,520.8,0.0,0.0,0.0,0.0,520.8,648.5166666666667,0.0,0.0,0.0,520.8,511.5,0.0,0.0,0.0,0.0
2026-04-30 00:00:00+00:00,0.0,504.0,653.8833333333333,0.0,0.0,0.0,504.0,1.6833333333333331,0.0,0.0,0.0,504.0,718.7833333333333,0.0,0.0,0.0,504.0,720.0,0.0,0.0,0.0,0.0
2026-05-31 00:00:00+00:00,0.0,169.39999999999998,73.9,0.0,0.0,0.0,169.39999999999998,0.0,0.0,0.0,0.0,169.39999999999998,216.08333333333331,0.0,0.0,0.0,169.39999999999998,242.0,0.0,0.0,0.0,0.0
