hour,TJB1_runtime_h,TJB1_power_kW,TJB1_energy_kWh,TJB1_carbon_kg,TJB2_runtime_h,TJB2_power_kW,TJB2_energy_kWh,TJB2_carbon_kg,TJB3_runtime_h,TJB3_power_kW,TJB3_energy_kWh,TJB3_carbon_kg,TJB4_runtime_h,TJB4_power_kW,TJB4_energy_kWh,TJB4_carbon_kg,TJB5_runtime_h,TJB5_power_kW,TJB5_energy_kWh,TJB5_carbon_kg,TJB6_runtime_h,TJB6_power_kW,TJB6_energy_kWh,TJB6_carbon_kg,TJB7_runtime_h,TJB7_power_kW,TJB7_energy_kWh,TJB7_carbon_kg,TJB8_runtime_h,TJB8_power_kW,TJB8_energy_kWh,TJB8_carbon_kg,TJB9_runtime_h,TJB9_power_kW,TJB9_energy_kWh,TJB9_carbon_kg,TJB10_runtime_h,TJB10_power_kW,TJB10_energy_kWh,TJB10_carbon_kg,XSB1_runtime_h,XSB1_power_kW,XSB1_energy_kWh,XSB1_carbon_kg,XSB2_runtime_h,XSB2_power_kW,XSB2_energy_kWh,XSB2_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,6.483333333333333,288.0,2.5933333333333333,1.3669460000000002,444.9997175141243,288.0,177.99988700564973,93.82374044067798,204.91638418079097,288.0,81.9665536723164,43.20457044067797,414.8833333333333,288.0,165.95333333333335,87.47400200000001,1.1833333333333331,288.0,0.4733333333333333,0.249494,584.6830508474576,288.0,233.87322033898303,123.27457444067798,703.016384180791,288.0,281.2065536723164,148.22397444067798,0.0,288.0,0.0,0.0,706.266384180791,288.0,282.5065536723164,148.909204440678,0.0333333333333333,288.0,0.0133333333333333,0.007028,0.0,3323.076923076923,0.0,0.0,0.5347457627118644,3323.076923076923,2.4680573663624505,1.3009130378096478,1229.0541590612777,647.8344472411995
2025-07-31 00:00:00+00:00,458.2166666666666,228.4,183.2866666666667,96.610402,3.816666666666667,228.4,1.5266666666666666,0.8047060000000001,1.8833333333333333,228.4,0.7533333333333334,0.397082,502.4014492753623,228.4,200.9605797101449,105.9263215652174,0.0,228.4,0.0,0.0,465.318115942029,228.4,186.1272463768116,98.1076715652174,241.4,228.4,96.56,50.89677600000001,315.5514492753623,228.4,126.22057971014492,66.5308675652174,565.7633844842285,228.4,226.3053537936914,119.28555198465476,0.0,228.4,0.0,0.0,0.0,2635.3846153846152,0.0,0.0,0.0,2635.3846153846152,0.0,0.0,1021.7404262574596,538.559378680307
2025-08-31 00:00:00+00:00,610.85,297.6,244.34,128.791614,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,583.9333333333333,297.6,233.57333333333332,123.11650400000002,0.0,297.6,0.0,0.0,686.3833333333333,297.6,274.55333333333334,144.71706200000003,0.05,297.6,0.02,0.010542,721.7,297.6,288.68,152.16322800000003,743.9333333333333,297.6,297.5733333333333,156.850904,0.0,297.6,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,1338.74,705.6498540000001
2025-09-30 00:00:00+00:00,243.56666666666663,288.0,97.42666666666668,51.353596,264.8138418079096,288.0,105.92553672316384,55.83335040677967,390.71129943502825,288.0,156.2845197740113,82.37757037288137,269.9166666666667,288.0,107.96666666666668,56.90923000000001,0.0,288.0,0.0,0.0,686.4,288.0,274.56,144.72057600000002,0.0,288.0,0.0,0.0,613.2833333333333,288.0,245.31333333333333,129.30465800000002,719.4,288.0,287.76,151.67829600000002,0.0,288.0,0.0,0.0,0.0,3323.076923076923,0.0,0.0,0.0,3323.076923076923,0.0,0.0,1275.2367231638418,672.1772767796612
2025-10-31 00:00:00+00:00,0.0,291.6,0.0,0.0,317.15980392156865,291.6,126.86392156862746,66.86997305882353,127.66666666666669,291.6,51.06666666666667,26.917240000000003,576.0333333333333,291.6,230.41333333333336,121.450868,0.0,291.6,0.0,0.0,703.5,291.6,281.40000000000003,148.32594000000003,0.0,291.6,0.0,0.0,544.4242424242424,291.6,217.76969696969695,114.78640727272727,478.95,291.6,191.58,100.98181800000002,0.0,291.6,0.0,0.0,0.0,3364.6153846153843,0.0,0.0,0.0,3364.6153846153843,0.0,0.0,1099.0936185383246,579.3322463315509
2025-11-30 00:00:00+00:00,0.35,268.8,0.1399999999999999,0.073794,376.7166666666666,268.8,150.68666666666667,79.42694200000001,34.15,268.8,13.66,7.200186000000001,637.8333333333334,268.8,255.13333333333333,134.48078,0.0166666666666666,268.8,0.0066666666666666,0.003514,535.55,268.8,214.22,112.91536200000002,353.6333333333333,268.8,141.45333333333335,74.56005200000001,256.43333333333334,268.8,102.57333333333334,54.066404000000006,69.33333333333333,268.8,27.73333333333333,14.618240000000002,0.0,268.8,0.0,0.0,0.0,3101.538461538461,0.0,0.0,0.0,3101.538461538461,0.0,0.0,905.6066666666668,477.3452740000001
2025-12-31 00:00:00+00:00,536.9666666666667,297.6,214.7866666666667,113.214052,160.56666666666666,297.6,64.22666666666667,33.85387600000001,321.78333333333336,297.6,128.71333333333334,67.84479800000001,179.95,297.6,71.98,37.940658000000006,3.0166666666666666,297.6,1.2066666666666668,0.6360340000000001,302.05,297.6,120.82,63.684222000000005,738.15,297.6,295.26,155.631546,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,297.6,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,896.9933333333335,472.8051860000001
2026-01-31 00:00:00+00:00,401.73333333333335,297.6,160.69333333333336,84.70145600000001,66.21666666666667,297.6,26.486666666666668,13.961122,0.0,297.6,0.0,0.0,570.1666666666666,297.6,228.0666666666667,120.21394000000002,0.0,297.6,0.0,0.0,315.8666666666667,297.6,126.34666666666668,66.597328,681.2333333333333,297.6,272.49333333333334,143.63123600000003,0.0,297.6,0.0,0.0,14.083333333333334,297.6,5.633333333333334,2.96933,0.0,297.6,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,819.72,432.07441200000005
2026-02-28 00:00:00+00:00,1.8833333333333333,268.8,0.7533333333333334,0.397082,130.13333333333333,268.8,52.053333333333335,27.437312,0.7333333333333334,268.8,0.2933333333333333,0.154616,523.45,268.8,209.38,110.36419800000002,0.0,268.8,0.0,0.0,619.7333333333333,268.8,247.89333333333332,130.664576,405.0,268.8,162.0,85.39020000000001,0.0166666666666666,268.8,0.0066666666666666,0.003514,0.0,268.8,0.0,0.0,0.0,268.8,0.0,0.0,0.0,3101.538461538461,0.0,0.0,0.0,3101.538461538461,0.0,0.0,672.3800000000001,354.41149800000005
2026-03-31 00:00:00+00:00,0.0666666666666666,297.6,0.0266666666666666,0.014056,469.9039548022599,297.6,187.961581920904,99.07454983050847,144.36666666666667,297.6,57.74666666666667,30.438268000000004,504.5833333333333,297.6,201.83333333333331,106.38635,0.0,297.6,0.0,0.0,687.2,297.6,274.88,144.889248,648.5166666666667,297.6,259.4066666666667,136.73325400000002,0.0,297.6,0.0,0.0,511.5,297.6,204.6,107.84466000000002,0.0,297.6,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,0.0,3433.8461538461534,0.0,0.0,1186.4549152542372,625.3803858305085
