hour,TJB1_runtime_h,TJB1_power_kW,TJB1_energy_kWh,TJB1_carbon_kg,TJB2_runtime_h,TJB2_power_kW,TJB2_energy_kWh,TJB2_carbon_kg,TJB3_runtime_h,TJB3_power_kW,TJB3_energy_kWh,TJB3_carbon_kg,TJB4_runtime_h,TJB4_power_kW,TJB4_energy_kWh,TJB4_carbon_kg,TJB5_runtime_h,TJB5_power_kW,TJB5_energy_kWh,TJB5_carbon_kg,TJB6_runtime_h,TJB6_power_kW,TJB6_energy_kWh,TJB6_carbon_kg,TJB7_runtime_h,TJB7_power_kW,TJB7_energy_kWh,TJB7_carbon_kg,TJB8_runtime_h,TJB8_power_kW,TJB8_energy_kWh,TJB8_carbon_kg,TJB9_runtime_h,TJB9_power_kW,TJB9_energy_kWh,TJB9_carbon_kg,TJB10_runtime_h,TJB10_power_kW,TJB10_energy_kWh,TJB10_carbon_kg,XSB1_runtime_h,XSB1_power_kW,XSB1_energy_kWh,XSB1_carbon_kg,XSB2_runtime_h,XSB2_power_kW,XSB2_energy_kWh,XSB2_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4166666666666667,0.4,0.1666666666666666,0.08785,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7666666666666668,0.93121
2026-05-10 03:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.5166666666666667,0.4,0.2066666666666667,0.108934,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.8066666666666669,0.952294
2026-05-10 04:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4,0.4,0.16,0.084336,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7600000000000002,0.927696
2026-05-10 05:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.3833333333333333,0.4,0.1533333333333333,0.080822,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7533333333333334,0.924182
2026-05-10 06:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.3833333333333333,0.4,0.1533333333333333,0.080822,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7533333333333334,0.924182
2026-05-10 07:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.3833333333333333,0.4,0.1533333333333333,0.080822,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7533333333333334,0.924182
2026-05-10 08:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4166666666666667,0.4,0.1666666666666666,0.08785,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7666666666666668,0.93121
2026-05-10 09:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4166666666666667,0.4,0.1666666666666666,0.08785,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7666666666666668,0.93121
2026-05-10 10:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.3,0.4,0.12,0.063252,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7200000000000002,0.906612
2026-05-10 11:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.1,0.4,0.04,0.021084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.55,0.4,0.22,0.115962,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.86,0.980406
2026-05-10 12:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.45,0.4,0.18,0.094878,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,2.18,1.1490780000000005
2026-05-10 13:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.3833333333333333,0.4,0.1533333333333333,0.080822,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,2.1533333333333333,1.1350220000000002
2026-05-10 14:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.9833333333333332,0.4,0.3933333333333333,0.2073259999999999,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4333333333333333,0.4,0.1733333333333333,0.091364,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,2.1666666666666665,1.1420500000000002
2026-05-10 15:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.5,0.4,0.2,0.10542,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.8,0.9487800000000002
2026-05-10 16:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4833333333333333,0.4,0.1933333333333333,0.101906,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.7933333333333334,0.9452660000000002
2026-05-10 17:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.2,0.4,0.08,0.042168,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.3,0.4,0.12,0.063252,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.4000000000000004,0.73794
2026-05-10 18:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4833333333333333,0.4,0.1933333333333333,0.101906,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.3933333333333335,0.7344260000000001
2026-05-10 19:00:00+00:00,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.4,0.21084,0.4666666666666667,0.4,0.1866666666666666,0.098392,0.0,4.615384615384615,0.0,0.0,0.0,4.615384615384615,0.0,0.0,1.386666666666667,0.7309120000000001
