summary_period,source_file,summary_level,row_count,start_time,end_time,TJB1_runtime_h_sum,TJB1_power_kW_sum,TJB1_energy_kWh_sum,TJB1_carbon_kg_sum,TJB2_runtime_h_sum,TJB2_power_kW_sum,TJB2_energy_kWh_sum,TJB2_carbon_kg_sum,TJB3_runtime_h_sum,TJB3_power_kW_sum,TJB3_energy_kWh_sum,TJB3_carbon_kg_sum,TJB4_runtime_h_sum,TJB4_power_kW_sum,TJB4_energy_kWh_sum,TJB4_carbon_kg_sum,TJB5_runtime_h_sum,TJB5_power_kW_sum,TJB5_energy_kWh_sum,TJB5_carbon_kg_sum,TJB6_runtime_h_sum,TJB6_power_kW_sum,TJB6_energy_kWh_sum,TJB6_carbon_kg_sum,TJB7_runtime_h_sum,TJB7_power_kW_sum,TJB7_energy_kWh_sum,TJB7_carbon_kg_sum,TJB8_runtime_h_sum,TJB8_power_kW_sum,TJB8_energy_kWh_sum,TJB8_carbon_kg_sum,TJB9_runtime_h_sum,TJB9_power_kW_sum,TJB9_energy_kWh_sum,TJB9_carbon_kg_sum,TJB10_runtime_h_sum,TJB10_power_kW_sum,TJB10_energy_kWh_sum,TJB10_carbon_kg_sum,XSB1_runtime_h_sum,XSB1_power_kW_sum,XSB1_energy_kWh_sum,XSB1_carbon_kg_sum,XSB2_runtime_h_sum,XSB2_power_kW_sum,XSB2_energy_kWh_sum,XSB2_carbon_kg_sum,unit_total_energy_kWh_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,9.600000000000001,0.0,0.0,24.0,9.600000000000001,9.600000000000001,5.06016,3.083333333333333,9.600000000000001,1.2333333333333334,0.6500899999999998,0.0,9.600000000000001,0.0,0.0,0.0,9.600000000000001,0.0,0.0,24.0,9.600000000000001,9.600000000000001,5.06016,19.0,9.600000000000001,7.6000000000000005,4.00596,0.0,9.600000000000001,0.0,0.0,24.0,9.600000000000001,9.600000000000001,5.06016,10.883333333333333,9.600000000000001,4.3533333333333335,2.2946419999999996,0.0,110.76923076923076,0.0,0.0,0.0,110.76923076923076,0.0,0.0,41.98666666666667,22.131172000000003
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,58.4,0.0,0.0,144.51666666666665,58.4,57.806666666666665,30.469894,38.233333333333334,58.4,15.293333333333333,8.061116000000002,0.4833333333333333,58.4,0.1933333333333333,0.101906,0.0,58.4,0.0,0.0,139.38333333333333,58.4,55.75333333333334,29.387582000000002,126.71666666666667,58.4,50.68666666666667,26.716942,0.0,58.4,0.0,0.0,146.0,58.4,58.4,30.78264,42.61666666666666,58.4,17.046666666666667,8.985298,0.0,673.8461538461538,0.0,0.0,0.0,673.8461538461538,0.0,0.0,255.18000000000004,134.50537799999998
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,269.6,0.0,0.0,548.1,269.6,219.24,115.561404,455.31666666666666,269.6,182.12666666666667,95.998966,1.0499999999999998,269.6,0.41999999999999993,0.221382,0.0,269.6,0.0,0.0,537.0833333333334,269.6,214.83333333333337,113.23864999999999,646.8666666666666,269.6,258.7466666666667,136.38536800000006,0.0,269.6,0.0,0.0,674.0,269.6,269.6,142.10616000000002,59.81666666666666,269.6,23.926666666666666,12.611746,0.0,3110.7692307692305,0.0,0.0,0.0,3110.7692307692305,0.0,0.0,1168.8933333333332,616.123676
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,2260.1166666666663,3208.8000000000006,904.0466666666666,476.522998,2874.3273180458623,3208.8000000000006,1149.730927218345,606.0231717367898,1953.9943502824858,3208.8000000000006,781.5977401129943,411.9801688135594,4764.218115942029,3208.8000000000006,1905.6872463768116,1004.4877475652174,5.9,3208.8000000000006,2.36,1.243956,6352.717833456154,3208.8000000000006,2541.0871333824616,1339.4070280058954,4705.866384180791,3208.8000000000006,1882.3465536723165,992.1848684406781,2451.409025032938,3208.8000000000006,980.5636100131751,516.8550788379447,4771.22976866502,3208.8000000000006,1908.4919074660077,1005.9660844253327,59.900000000000006,3208.8000000000006,23.96,12.629316000000003,0.0,37024.61538461538,0.0,0.0,0.5347457627118644,37024.61538461538,2.4680573663624505,1.3009130378096478,12082.33984227514,6368.601330863228
