hour,KJSH_P1_runtime_h,KJSH_P1_power_kW,KJSH_P1_energy_kWh,KJSH_P1_carbon_kg,KJSH_P2_runtime_h,KJSH_P2_power_kW,KJSH_P2_energy_kWh,KJSH_P2_carbon_kg,KJSH_P3_runtime_h,KJSH_P3_power_kW,KJSH_P3_energy_kWh,KJSH_P3_carbon_kg,PAC_JLB1_runtime_h,PAC_JLB1_power_kW,PAC_JLB1_energy_kWh,PAC_JLB1_carbon_kg,PAC_JLB2_runtime_h,PAC_JLB2_power_kW,PAC_JLB2_energy_kWh,PAC_JLB2_carbon_kg,PAC_JLB3_runtime_h,PAC_JLB3_power_kW,PAC_JLB3_energy_kWh,PAC_JLB3_carbon_kg,PAC_JLB4_runtime_h,PAC_JLB4_power_kW,PAC_JLB4_energy_kWh,PAC_JLB4_carbon_kg,PAC_JLB5_runtime_h,PAC_JLB5_power_kW,PAC_JLB5_energy_kWh,PAC_JLB5_carbon_kg,PAC_JLB6_runtime_h,PAC_JLB6_power_kW,PAC_JLB6_energy_kWh,PAC_JLB6_carbon_kg,PAC_JLB7_runtime_h,PAC_JLB7_power_kW,PAC_JLB7_energy_kWh,PAC_JLB7_carbon_kg,PAC_JLB8_runtime_h,PAC_JLB8_power_kW,PAC_JLB8_energy_kWh,PAC_JLB8_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-04-19 00:00:00+00:00,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,167.8,57.6,57.53142857142857,30.324816,167.9,57.6,57.565714285714286,30.342888,167.9,57.6,57.565714285714286,30.342888,167.91666666666666,57.6,57.57142857142857,30.345900000000004,0.0,57.6,0.0,0.0,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,0.0,57.6,0.0,0.0,345.4342857142857,182.07841200000004
2026-04-26 00:00:00+00:00,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,0.0,57.6,0.0,0.0,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,0.0,57.6,0.0,0.0,345.6,182.16576000000003
2026-05-03 00:00:00+00:00,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,0.45,57.6,0.1542857142857143,0.081324,167.53333333333333,57.6,57.44,30.276624,168.0,57.6,57.6,30.36096,0.0,57.6,0.0,0.0,345.5942857142858,182.162748
2026-05-10 00:00:00+00:00,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,0.0,0.0,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,168.0,57.6,57.6,30.36096,0.0,57.6,0.0,0.0,167.08333333333334,57.6,57.285714285714285,30.195300000000003,167.08333333333334,57.6,57.285714285714285,30.195300000000003,0.0,57.6,0.0,0.0,344.9714285714286,181.83444000000003
2026-05-17 00:00:00+00:00,0.0,3.428571428571429,0.0,0.0,0.0,3.428571428571429,0.0,0.0,0.0,3.428571428571429,0.0,0.0,2.0,0.6857142857142857,0.6857142857142857,0.36144,2.0,0.6857142857142857,0.6857142857142857,0.36144,2.0,0.6857142857142857,0.6857142857142857,0.36144,2.0,0.6857142857142857,0.6857142857142857,0.36144,0.0,0.6857142857142857,0.0,0.0,2.0,0.6857142857142857,0.6857142857142857,0.36144,2.0,0.6857142857142857,0.6857142857142857,0.36144,0.0,0.6857142857142857,0.0,0.0,4.114285714285715,2.1686400000000003
