hour,KJSH_P1_runtime_h,KJSH_P1_power_kW,KJSH_P1_energy_kWh,KJSH_P1_carbon_kg,KJSH_P2_runtime_h,KJSH_P2_power_kW,KJSH_P2_energy_kWh,KJSH_P2_carbon_kg,KJSH_P3_runtime_h,KJSH_P3_power_kW,KJSH_P3_energy_kWh,KJSH_P3_carbon_kg,PAC_JLB1_runtime_h,PAC_JLB1_power_kW,PAC_JLB1_energy_kWh,PAC_JLB1_carbon_kg,PAC_JLB2_runtime_h,PAC_JLB2_power_kW,PAC_JLB2_energy_kWh,PAC_JLB2_carbon_kg,PAC_JLB3_runtime_h,PAC_JLB3_power_kW,PAC_JLB3_energy_kWh,PAC_JLB3_carbon_kg,PAC_JLB4_runtime_h,PAC_JLB4_power_kW,PAC_JLB4_energy_kWh,PAC_JLB4_carbon_kg,PAC_JLB5_runtime_h,PAC_JLB5_power_kW,PAC_JLB5_energy_kWh,PAC_JLB5_carbon_kg,PAC_JLB6_runtime_h,PAC_JLB6_power_kW,PAC_JLB6_energy_kWh,PAC_JLB6_carbon_kg,PAC_JLB7_runtime_h,PAC_JLB7_power_kW,PAC_JLB7_energy_kWh,PAC_JLB7_carbon_kg,PAC_JLB8_runtime_h,PAC_JLB8_power_kW,PAC_JLB8_energy_kWh,PAC_JLB8_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 03:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 04:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 05:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 06:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 07:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 08:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 09:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 10:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 11:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
2026-05-10 12:00:00+00:00,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,0.0,1.7142857142857144,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,1.0,0.3428571428571428,0.3428571428571428,0.18072,1.0,0.3428571428571428,0.3428571428571428,0.18072,0.0,0.3428571428571428,0.0,0.0,2.0571428571428574,1.0843200000000002
