summary_period,source_file,summary_level,row_count,start_time,end_time,KJSH_P1_runtime_h_sum,KJSH_P1_power_kW_sum,KJSH_P1_energy_kWh_sum,KJSH_P1_carbon_kg_sum,KJSH_P2_runtime_h_sum,KJSH_P2_power_kW_sum,KJSH_P2_energy_kWh_sum,KJSH_P2_carbon_kg_sum,KJSH_P3_runtime_h_sum,KJSH_P3_power_kW_sum,KJSH_P3_energy_kWh_sum,KJSH_P3_carbon_kg_sum,PAC_JLB1_runtime_h_sum,PAC_JLB1_power_kW_sum,PAC_JLB1_energy_kWh_sum,PAC_JLB1_carbon_kg_sum,PAC_JLB2_runtime_h_sum,PAC_JLB2_power_kW_sum,PAC_JLB2_energy_kWh_sum,PAC_JLB2_carbon_kg_sum,PAC_JLB3_runtime_h_sum,PAC_JLB3_power_kW_sum,PAC_JLB3_energy_kWh_sum,PAC_JLB3_carbon_kg_sum,PAC_JLB4_runtime_h_sum,PAC_JLB4_power_kW_sum,PAC_JLB4_energy_kWh_sum,PAC_JLB4_carbon_kg_sum,PAC_JLB5_runtime_h_sum,PAC_JLB5_power_kW_sum,PAC_JLB5_energy_kWh_sum,PAC_JLB5_carbon_kg_sum,PAC_JLB6_runtime_h_sum,PAC_JLB6_power_kW_sum,PAC_JLB6_energy_kWh_sum,PAC_JLB6_carbon_kg_sum,PAC_JLB7_runtime_h_sum,PAC_JLB7_power_kW_sum,PAC_JLB7_energy_kWh_sum,PAC_JLB7_carbon_kg_sum,PAC_JLB8_runtime_h_sum,PAC_JLB8_power_kW_sum,PAC_JLB8_energy_kWh_sum,PAC_JLB8_carbon_kg_sum,unit_total_energy_kWh_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,41.142857142857146,0.0,0.0,0.0,41.142857142857146,0.0,0.0,0.0,41.142857142857146,0.0,0.0,24.0,8.228571428571428,8.228571428571428,4.33728,24.0,8.228571428571428,8.228571428571428,4.33728,24.0,8.228571428571428,8.228571428571428,4.33728,24.0,8.228571428571428,8.228571428571428,4.33728,0.0,8.228571428571428,0.0,0.0,23.983333333333334,8.228571428571428,8.222857142857142,4.334268,23.983333333333334,8.228571428571428,8.222857142857142,4.334268,0.0,8.228571428571428,0.0,0.0,49.36000000000001,26.017656000000006
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,250.28571428571428,0.0,0.0,0.0,250.28571428571428,0.0,0.0,0.0,250.28571428571428,0.0,0.0,146.0,50.05714285714285,50.05714285714285,26.38512,146.0,50.05714285714285,50.05714285714285,26.38512,146.0,50.05714285714285,50.05714285714285,26.38512,146.0,50.05714285714285,50.05714285714285,26.38512,0.0,50.05714285714285,0.0,0.0,145.08333333333331,50.05714285714285,49.74285714285714,26.219460000000005,145.08333333333331,50.05714285714285,49.74285714285714,26.219460000000005,0.0,50.05714285714285,0.0,0.0,299.7142857142857,157.97940000000006
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,1155.4285714285713,0.0,0.0,0.0,1155.4285714285713,0.0,0.0,0.0,1155.4285714285713,0.0,0.0,673.8,231.0857142857143,231.01714285714286,121.76913599999999,673.9,231.0857142857143,231.05142857142857,121.787208,673.9,231.0857142857143,231.05142857142857,121.787208,673.9166666666666,231.0857142857143,231.05714285714285,121.79022000000002,0.45,231.0857142857143,0.1542857142857143,0.081324,672.6166666666667,231.0857142857143,230.61142857142855,121.555284,673.0833333333334,231.0857142857143,230.77142857142857,121.63962,0.0,231.0857142857143,0.0,0.0,1385.7142857142856,730.41
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,0.0,13738.285714285716,0.0,0.0,0.0,13738.285714285716,0.0,0.0,0.0,13738.285714285716,0.0,0.0,7618.7997175141245,2747.657142857143,2612.1599031477,1376.8694849491526,955.2333333333333,2747.657142857143,327.50857142857143,172.629768,7982.049717514124,2747.657142857143,2736.702760290557,1442.5160249491526,7982.083050847457,2747.657142857143,2736.7141888619853,1442.5220489491523,6995.333050847458,2747.657142857143,2398.3999031477,1264.1965889491526,7642.749717514124,2747.657142857143,2620.371331719128,1381.1977289491529,7692.199717514124,2747.657142857143,2637.3256174334138,1390.1343329491524,0.0,2747.657142857143,0.0,0.0,16069.182276029056,8470.065977694916
