hour,A_actual_ozone_t_h,A_actual_ozone_kg,A_leak_rate,A_ozone_leak_kg,A_carbon_kgCO2e,B_phase2_AI9_leak_ppm,B_phase2_AI9_leak_mg_m3,B_phase2_AI9_exhaust_flow_m3_h,B_phase2_AI9_ozone_leak_kg,B_phase2_AI9_carbon_kgCO2e,B_phase2_AI33_leak_ppm,B_phase2_AI33_leak_mg_m3,B_phase2_AI33_exhaust_flow_m3_h,B_phase2_AI33_ozone_leak_kg,B_phase2_AI33_carbon_kgCO2e,B_total_ozone_leak_kg,B_total_carbon_kgCO2e,unit_total_chemical_kg,unit_total_carbon_kg
2026-04-19 00:00:00+00:00,3.06432,3064.32,8.4,153.21599999999998,6.12864,0.000195,0.0004173,1680000,4.1730000000000005e-06,1.6692000000000004e-07,0.0031091666666666,0.0066536166666666,1680000,6.653616666666668e-05,2.6614466666666667e-06,7.070916666666668e-05,2.828366666666667e-06,153.21607070916664,6.128642828366666
2026-04-26 00:00:00+00:00,3.06432,3064.32,8.4,153.21599999999998,6.12864,0.000288,0.00061632,1680000,6.1632000000000006e-06,2.46528e-07,0.0032543333333333,0.0069642733333333,1680000,6.964273333333334e-05,2.785709333333333e-06,7.580593333333335e-05,3.032237333333333e-06,153.21607580593331,6.128643032237333
2026-05-03 00:00:00+00:00,3.06432,3064.32,8.4,153.21599999999998,6.12864,0.000246,0.00052644,1680000,5.264400000000001e-06,2.1057600000000002e-07,0.0122823333333333,0.0262841933333333,1680000,0.0002628419333333,1.0513677333333334e-05,0.0002681063333333,1.0724253333333336e-05,153.21626810633333,6.128650724253333
2026-05-10 00:00:00+00:00,3.06432,3064.32,8.4,153.21599999999998,6.12864,0.0004875,0.00104325,1680000,1.04325e-05,4.173000000000001e-07,0.0088736666666666,0.0189896466666666,1680000,0.0001898964666666,7.595858666666667e-06,0.0002003289666666,8.013158666666666e-06,153.21620032896666,6.128648013158666
2026-05-17 00:00:00+00:00,0.03648,36.48,0.1,1.824,0.07296,1.5e-06,3.21e-06,20000,3.21e-08,1.284e-09,4.0333333333333336e-05,8.631333333333335e-05,20000,8.631333333333335e-07,3.452533333333334e-08,8.952333333333334e-07,3.580933333333334e-08,1.824000895233333,0.0729600358093333
