hour,PAC1_flow_L_h,PAC1_runtime_h,PAC1_chemical_kg,PAC1_carbon_kg,PAC2_flow_L_h,PAC2_runtime_h,PAC2_chemical_kg,PAC2_carbon_kg,PAC3_flow_L_h,PAC3_runtime_h,PAC3_chemical_kg,PAC3_carbon_kg,PAC4_flow_L_h,PAC4_runtime_h,PAC4_chemical_kg,PAC4_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,630.0166666666667,719.966384180791,787.5003472222222,422.88768645833335,631.7,0.0,0.0,0.0,631.95,719.966384180791,789.9170138888888,424.18543645833336,631.65,719.966384180791,789.5420138888888,423.9840614583333,2366.959375,1271.057184375
2025-07-31 00:00:00+00:00,507.95,570.7,634.64375,340.80369375,502.9166666666667,0.0,0.0,0.0,509.1833333333333,570.7166666666667,636.2045138888889,341.64182395833336,509.51666666666665,570.7166666666667,636.6211805555556,341.86557395833336,1907.4694444444444,1024.3110916666667
2025-08-31 00:00:00+00:00,402.45,743.9666666666667,503.0625,270.1445625,344.45,0.0,0.0,0.0,402.85,744.0,503.5625,270.4130625,417.31666666666666,744.0,521.6458333333334,280.1238125,1528.2708333333333,820.6814375
2025-09-30 00:00:00+00:00,660.3333333333334,720.0,825.4166666666666,443.24875,657.1,0.0,0.0,0.0,660.3333333333334,720.0,825.4166666666666,443.24875,657.1333333333333,720.0,821.4166666666666,441.10075,2472.25,1327.59825
2025-10-31 00:00:00+00:00,601.6179487179487,703.8666666666667,748.8391025641025,402.1265980769231,592.0690476190476,0.0,0.0,0.0,600.1679487179488,703.85,747.0686164529915,401.1758470352564,621.401282051282,703.8833333333333,772.4005608974359,414.7791012019231,2268.30827991453,1218.0815463141023
2025-11-30 00:00:00+00:00,312.3333333333333,342.5833333333333,390.12152777777777,209.49526041666667,526.2166666666667,0.0,0.0,0.0,646.7666666666667,672.0,808.4583333333334,434.142125,646.7666666666667,672.0,808.4583333333334,434.142125,2007.0381944444443,1077.7795104166669
2025-12-31 00:00:00+00:00,720.45,742.45,899.5128472222223,483.03839895833335,674.6,0.0,0.0,0.0,695.9833333333333,742.4166666666666,869.2090277777778,466.7652479166667,658.9666666666667,742.4166666666666,822.9381944444444,441.9178104166666,2591.6600694444446,1391.7214572916666
2026-01-31 00:00:00+00:00,506.81666666666666,718.9,632.9614583333333,339.900303125,511.2,0.0,0.0,0.0,495.4166666666667,742.1333333333333,618.9413194444444,332.3714885416667,496.2,742.1333333333333,619.884375,332.877909375,1871.7871527777777,1005.1497010416666
2026-02-28 00:00:00+00:00,138.65,671.55,173.09375,92.95134375,105.91666666666669,0.0,0.0,0.0,313.6333333333333,671.55,391.6979166666667,210.34178125,309.3333333333333,671.55,386.321875,207.454846875,951.1135416666668,510.747971875
2026-03-31 00:00:00+00:00,21.55,724.3333333333334,26.494444444444444,14.227516666666666,31.933333333333334,0.0,0.0,0.0,192.88333333333333,733.65,240.7263888888889,129.27007083333334,161.65,733.65,201.68472222222223,108.30469583333334,468.9055555555556,251.80228333333332
2026-04-30 00:00:00+00:00,238.21666666666667,718.4833333333333,297.7548611111111,159.89436041666667,259.1666666666667,713.2333333333333,323.9479166666667,173.96003125,258.05,719.7666666666667,322.5541666666667,173.2115875,258.26666666666665,719.7666666666667,322.8333333333333,173.3615,1267.0902777777778,680.4274791666667
2026-05-31 00:00:00+00:00,218.26666666666668,242.0,272.8333333333333,146.5115,237.35,242.0,296.6875,159.3211875,236.45,242.0,295.5625,158.7170625,236.41666666666663,242.0,295.5208333333333,158.6946875,1160.6041666666667,623.2444375
