summary_period,source_file,summary_level,row_count,start_time,end_time,PAC1_flow_L_h_sum,PAC1_runtime_h_sum,PAC1_chemical_kg_sum,PAC1_carbon_kg_sum,PAC2_flow_L_h_sum,PAC2_runtime_h_sum,PAC2_chemical_kg_sum,PAC2_carbon_kg_sum,PAC3_flow_L_h_sum,PAC3_runtime_h_sum,PAC3_chemical_kg_sum,PAC3_carbon_kg_sum,PAC4_flow_L_h_sum,PAC4_runtime_h_sum,PAC4_chemical_kg_sum,PAC4_carbon_kg_sum,unit_total_chemical_kg_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,21.4,24.0,26.75,14.36475,22.366666666666667,24.0,27.958333333333336,15.013625000000001,22.55,24.0,28.1875,15.1366875,22.55,24.0,28.1875,15.1366875,111.08333333333334,59.65175
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,138.91666666666666,146.0,173.6458333333333,93.2478125,142.26666666666668,146.0,177.83333333333331,95.49649999999998,142.38333333333335,146.0,177.97916666666666,95.5748125,142.36666666666667,146.0,177.9583333333333,95.56362499999999,707.4166666666666,379.88275
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,456.4666666666667,673.8,570.5680555555554,306.3950458333333,496.5166666666667,673.9,620.6354166666666,333.28121875,494.4666666666667,673.9,618.0749999999999,331.906275,494.6333333333334,673.9166666666666,618.2916666666666,332.022625,2427.570138888889,1303.6051645833331
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,4958.651282051282,7618.7997175141245,6192.234588675214,3325.22997411859,5074.619047619049,955.2333333333333,620.6354166666667,333.28121875,5643.667948717948,7982.049717514124,7049.318963675214,3785.48428349359,5604.617948717948,7982.083050847457,6999.2679220085465,3758.6068741185895,20861.456891025642,11202.602350480769
