summary_period,source_file,summary_level,process_stage,process_unit,row_count,start_time,end_time,electric_carbon_kg_sum,chemical_carbon_kg_sum,unit_total_carbon_kg_sum,stage_total_carbon_kg_latest,plant_total_carbon_kg_latest,unit_share_within_stage_avg,unit_share_of_plant_avg
latest_24h_hourly,hourly.csv,detail,01_原水取水段,原水取水_原水提升泵房,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,11596.033470919194,0.0,11596.033470919194,588.410861888,597.383411888,0.9987810389630202,0.9802639928118898
latest_24h_hourly,hourly.csv,detail,01_原水取水段,原水取水_取水泵站,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,588.410861888,597.383411888,0.0,0.0
latest_24h_hourly,hourly.csv,detail,01_原水取水段,原水取水_次氯酸钠间,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,13.484467673600001,13.484467673600001,588.410861888,597.383411888,0.0012189610369797875,0.0011949398123241581
latest_24h_hourly,hourly.csv,total,TOTAL,TOTAL,72,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,11596.033470919194,13.484467673600001,11609.517938592793,588.410861888,597.383411888,0.3333333333333333,0.32715297754140465
latest_7d_daily,daily.csv,detail,01_原水取水段,原水取水_原水提升泵房,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,70306.23424432857,0.0,70306.23424432857,1193.5809716416002,1210.7864289749334,0.9980491239469725,0.8939326970108105
latest_7d_daily,daily.csv,detail,01_原水取水段,原水取水_取水泵站,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,58.290594811715,0.0,58.290594811715,1193.5809716416002,1210.7864289749334,0.0007877779825000571,0.0006818430255707
latest_7d_daily,daily.csv,detail,01_原水取水段,原水取水_次氯酸钠间,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,82.72441680213333,82.72441680213333,1193.5809716416002,1210.7864289749334,0.0011630980705273285,0.0010412321245504286
latest_7d_daily,daily.csv,total,TOTAL,TOTAL,21,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,70364.5248391403,82.72441680213332,70447.24925594243,1193.5809716416002,1210.7864289749334,0.3333333333333333,0.29855192405364395
latest_5w_weekly,weekly.csv,detail,01_原水取水段,原水取水_原水提升泵房,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,304268.29306679213,0.0,304268.29306679213,1193.5809716416002,1210.7864289749334,0.9272387914416615,0.8340496827997763
latest_5w_weekly,weekly.csv,detail,01_原水取水段,原水取水_取水泵站,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,29830.729110259173,0.0,29830.729110259173,1193.5809716416002,1210.7864289749334,0.07160029052303458,0.06656279594297589
latest_5w_weekly,weekly.csv,detail,01_原水取水段,原水取水_次氯酸钠间,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,0.0,395.46466848533333,395.46466848533333,1193.5809716416002,1210.7864289749334,0.0011609180353038,0.0010455884890441598
latest_5w_weekly,weekly.csv,total,TOTAL,TOTAL,15,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,334099.0221770513,395.46466848533333,334494.4868455366,1193.5809716416002,1210.7864289749334,0.3333333333333333,0.30055268907726546
latest_12m_monthly,monthly.csv,detail,01_原水取水段,原水取水_原水提升泵房,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,3411892.1295398236,0.0,3411892.1295398236,116945.79795627097,137916.04252843573,0.8568762571553287,0.7134225740564158
latest_12m_monthly,monthly.csv,detail,01_原水取水段,原水取水_取水泵站,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,738114.5119043794,0.0,738114.5119043794,116945.79795627097,137916.04252843573,0.13618522420594803,0.12240471131661966
latest_12m_monthly,monthly.csv,detail,01_原水取水段,原水取水_次氯酸钠间,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,0.0,34242.1445361101,34242.1445361101,116945.79795627097,137916.04252843573,0.006938518638723266,0.005781863021871117
latest_12m_monthly,monthly.csv,total,TOTAL,TOTAL,36,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,4150006.6414442025,34242.1445361101,4184248.7859803136,116945.79795627097,137916.04252843573,0.3333333333333333,0.28053638279830223
