hour,P1_runtime_h,P1_power_kW,P1_energy_kWh,P1_carbon_kg,P2_runtime_h,P2_power_kW,P2_energy_kWh,P2_carbon_kg,P3_runtime_h,P3_power_kW,P3_energy_kWh,P3_carbon_kg,P4_runtime_h,P4_power_kW,P4_energy_kWh,P4_carbon_kg,P5_runtime_h,P5_power_kW,P5_energy_kWh,P5_carbon_kg,P6_runtime_h,P6_power_kW,P6_energy_kWh,P6_carbon_kg,P1_XSJ1_runtime_h,P1_XSJ1_power_kW,P1_XSJ1_energy_kWh,P1_XSJ1_carbon_kg,P1_XSJ2_runtime_h,P1_XSJ2_power_kW,P1_XSJ2_energy_kWh,P1_XSJ2_carbon_kg,P2_XSJ1_runtime_h,P2_XSJ1_power_kW,P2_XSJ1_energy_kWh,P2_XSJ1_carbon_kg,P2_XSJ2_runtime_h,P2_XSJ2_power_kW,P2_XSJ2_energy_kWh,P2_XSJ2_carbon_kg,LQT_P1_runtime_h,LQT_P1_power_kW,LQT_P1_energy_kWh,LQT_P1_carbon_kg,LQT_P2_runtime_h,LQT_P2_power_kW,LQT_P2_energy_kWh,LQT_P2_carbon_kg,LQT_P3_runtime_h,LQT_P3_power_kW,LQT_P3_energy_kWh,LQT_P3_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,0.0,0.0,0.0,0.0,15.266666666666667,18513.97702843333,13238.360668478332,6977.93990835493,122.35,353.93006813750003,352.8353799822222,185.97952878862932,0.0,0.0,0.0,0.0,288.366384180791,3261.4559741779663,3175.8636315945964,1673.997720213512,265.54971751412427,2863.279079568362,2831.236742949566,1492.3448872087165,1.0166666666666666,1863.529411764706,2.631372549019608,1.3869964705882354,1.0166666666666666,1863.529411764706,2.631372549019608,1.3869964705882354,0.95,1863.529411764706,2.458823529411765,1.2960458823529413,0.95,1863.529411764706,2.458823529411765,1.2960458823529413,0.0,14400.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,14400.0,0.0,0.0,19608.47681516158,10335.628129271669
2025-07-31 00:00:00+00:00,0.0,0.0,0.0,0.0,27.466666666666665,30450.09064168333,27292.60551361805,14385.932366228077,167.51666666666668,3466.0416455833333,602.4865554066666,317.570663354854,25.83333333333333,13108.965374019916,11989.598908703803,6319.717584777776,61.56666666666667,731.8021419833333,676.6487813338889,356.66157264109285,173.58333333333334,1851.93192545587,1816.171122086981,957.3037984520478,0.1333333333333333,1477.8823529411766,0.3450980392156862,0.1819011764705882,0.4333333333333333,1477.8823529411766,1.1215686274509804,0.5911788235294118,0.3666666666666666,1477.8823529411766,0.9490196078431372,0.5002282352941178,0.3666666666666666,1477.8823529411766,0.9490196078431372,0.5002282352941178,0.0,11420.0,0.0,0.0,0.0,11420.0,0.0,0.0,0.0,11420.0,0.0,0.0,42380.87558703175,22338.95952192444
2025-08-31 00:00:00+00:00,0.0,0.0,0.0,0.0,16.716666666666665,18106.58382645,16605.055567825,8752.524789800558,0.0,1125.6073420333332,0.0,0.0,16.5,6031.6301057,5180.821646503056,2730.811089871761,14.4,211.87370898333333,152.46399523638888,80.36377188910059,1.9,30.42725323333333,18.52942309388889,9.766858912788834,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,21956.87063265833,11573.466510474207
2025-09-30 00:00:00+00:00,0.0,0.0,0.0,0.0,3.4833333333333334,4149.7934266,2779.5015059191664,1465.0752437699928,0.0,9.918720333333331,0.0,0.0,30.916666666666668,13201.2269037,12105.206106559166,6380.654138767337,6.583333333333334,111.414209,69.35805503472223,36.558630808802086,32.1,363.8822110666667,337.0571346286111,177.6628156627409,0.0,1863.529411764706,0.0,0.0,0.0,1863.529411764706,0.0,0.0,0.0,1863.529411764706,0.0,0.0,0.0,1863.529411764706,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,14400.0,0.0,0.0,15291.122802141666,8059.950829008873
2025-10-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1093.4469687731885,0.0,0.0,6.2,45.05887333333333,31.794154833333334,16.75869901265,0.0,1399.8366968,0.0,0.0,18.416666666666668,269.29959310765406,200.41996386603645,105.6413629537878,25.4,301.0422104753703,269.587866692037,142.0997645333727,0.0,1881.6470588235293,0.0,0.0,0.0,1881.6470588235293,0.0,0.0,0.0,1881.6470588235293,0.0,0.0,0.0,1881.6470588235293,0.0,0.0,0.0,14540.0,0.0,0.0,0.0,14540.0,0.0,0.0,0.0,14540.0,0.0,0.0,501.80198539140673,264.4998264998105
2025-11-30 00:00:00+00:00,0.0,0.0,0.0,0.0,18.516666666666666,9049.683456833334,8058.672061847223,4247.726043799671,0.0,7.883801833333333,0.0,0.0,0.2666666666666666,791.5600101666668,0.1406666666666666,0.0741454,16.533333333333335,95.91633,65.17965052222222,34.35619379026333,6.3500000000000005,80.94321466666666,66.10548115555555,34.84419911709333,0.0,1739.294117647059,0.0,0.0,0.0,1739.294117647059,0.0,0.0,0.0,1739.294117647059,0.0,0.0,0.0,1739.294117647059,0.0,0.0,0.0,13440.0,0.0,0.0,0.0,13440.0,0.0,0.0,0.0,13440.0,0.0,0.0,8190.097860191667,4317.000582107028
2025-12-31 00:00:00+00:00,0.0,0.0,0.0,0.0,9.9,10414.273467333333,9431.902176369444,4971.555637164334,8.9,58.821852166666666,45.397423619444446,23.928981989809166,32.15,11363.983597,10446.103249572225,5506.141022849519,0.0,45.7775245,0.0,0.0,0.0,8.9014535,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,19923.402849561116,10501.625642003664
2026-01-31 00:00:00+00:00,5.333333333333333,5583.9467331666665,4870.917058977778,2567.460381787186,14.466666666666669,15091.0968045,13218.22611805,6967.326986824155,8.166666666666666,55.65788966666667,42.57051865277778,22.438920381879168,19.58333333333333,3410.9533815,2556.9199819833334,1347.752522503415,0.0,34.591086,0.0,0.0,0.0,13.226266333333331,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,1925.6470588235293,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,20688.63367766389,10904.978811496636
2026-02-28 00:00:00+00:00,0.0,799.9500116666667,0.0,0.0,0.0,383.1666733333333,0.0,0.0,0.0,4.960197333333333,0.0,0.0,69.1,32897.39397133333,31975.65028328611,16854.36526432011,9.95,109.39274533333334,100.89932839166669,53.1840359952475,11.733333333333333,142.868495,128.46545834444444,67.71414309335667,0.0,1739.294117647059,0.0,0.0,0.0,1739.294117647059,0.0,0.0,0.0,1739.294117647059,0.0,0.0,0.0,1739.294117647059,0.0,0.0,0.0,13440.0,0.0,0.0,0.0,13440.0,0.0,0.0,0.0,13440.0,0.0,0.0,32205.015070022226,16975.263443408716
2026-03-31 00:00:00+00:00,514.05,508922.6088905349,508179.8092599293,267861.57746090874,1.6333333333333333,2498.5400545,1353.9348158,713.6590414081801,0.0,7.249128666666666,0.0,0.0,699.0666666666667,336295.58475400746,332239.3911450991,175123.38307258175,457.73333333333335,4971.610953991692,4880.449633550025,2572.485001844218,549.778431372549,6156.239670073028,5955.441880871654,3139.113415407449,3.8,1925.6470588235293,9.83529411764706,5.184183529411765,3.8333333333333335,1925.6470588235293,9.92156862745098,5.229658823529412,3.933333333333333,1925.6470588235293,10.180392156862744,5.366084705882353,3.816666666666667,1925.6470588235293,9.87843137254902,5.206921176470589,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,14880.0,0.0,0.0,852648.8424215247,449431.2048403857
