period_start,process_stage,stage_total_carbon_kg,plant_total_carbon_kg,stage_share_of_plant
2026-05-05 00:00:00+00:00,01_原水取水段,12492.394869683869,15501.78279354674,0.8058682692215469
2026-05-05 00:00:00+00:00,02_供水段,2794.38735564065,15501.78279354674,0.1802623216217382
2026-05-05 00:00:00+00:00,03_预处理,93.31733,15501.78279354674,0.006019780514461
2026-05-05 00:00:00+00:00,04_混凝沉淀,79.51680000000002,15501.78279354674,0.005129526136381
2026-05-05 00:00:00+00:00,06_深度处理,22.475544000000003,15501.78279354674,0.0014498683344574
2026-05-05 00:00:00+00:00,05_过滤,19.69089422222222,15501.78279354674,0.0012702341714153
2026-05-05 00:00:00+00:00,07_污泥处理,0.0,15501.78279354674,0.0
2026-05-06 00:00:00+00:00,07_污泥处理,0.0,12904.32848584431,0.0
2026-05-06 00:00:00+00:00,05_过滤,15.835645777777776,12904.32848584431,0.0012271576777628
2026-05-06 00:00:00+00:00,04_混凝沉淀,76.94907000000002,12904.32848584431,0.005963043337312
2026-05-06 00:00:00+00:00,06_深度处理,21.087514,12904.32848584431,0.0016341426850015
2026-05-06 00:00:00+00:00,02_供水段,1211.6302754528,12904.32848584431,0.0938933224446297
2026-05-06 00:00:00+00:00,01_原水取水段,11485.827059113732,12904.32848584431,0.8900755333153031
2026-05-06 00:00:00+00:00,03_预处理,92.9989215,12904.32848584431,0.0072068005399906
2026-05-07 00:00:00+00:00,01_原水取水段,11981.71657162572,15795.426912108507,0.7585560452589437
2026-05-07 00:00:00+00:00,02_供水段,3599.1741815939,15795.426912108507,0.2278617856687896
2026-05-07 00:00:00+00:00,03_预处理,93.44093,15795.426912108507,0.0059156951261867
2026-05-07 00:00:00+00:00,04_混凝沉淀,79.51680000000002,15795.426912108507,0.0050341659293199
2026-05-07 00:00:00+00:00,06_深度处理,23.835462000000003,15795.426912108507,0.0015090103061239
2026-05-07 00:00:00+00:00,05_过滤,17.742966888888887,15795.426912108507,0.0011232977106359
2026-05-07 00:00:00+00:00,07_污泥处理,0.0,15795.426912108507,0.0
2026-05-08 00:00:00+00:00,05_过滤,19.410164666666663,12212.822479595108,0.0015893266850555
2026-05-08 00:00:00+00:00,07_污泥处理,0.0,12212.822479595108,0.0
2026-05-08 00:00:00+00:00,06_深度处理,21.533792,12212.822479595108,0.0017632117420832
2026-05-08 00:00:00+00:00,04_混凝沉淀,79.51680000000002,12212.822479595108,0.006510927357935
2026-05-08 00:00:00+00:00,03_预处理,89.59243000000001,12212.822479595108,0.0073359315710753
2026-05-08 00:00:00+00:00,02_供水段,1432.24305935935,12212.822479595108,0.117273714716832
2026-05-08 00:00:00+00:00,01_原水取水段,10570.526233569091,12212.822479595108,0.8655268879270188
2026-05-09 00:00:00+00:00,01_原水取水段,11529.154036863967,11742.09661047508,0.9818650296727124
2026-05-09 00:00:00+00:00,03_预处理,92.8117425,11742.09661047508,0.0079041882875672
2026-05-09 00:00:00+00:00,04_混凝沉淀,79.51680000000002,11742.09661047508,0.0067719422380721
2026-05-09 00:00:00+00:00,06_深度处理,21.547848,11742.09661047508,0.0018350937413321
2026-05-09 00:00:00+00:00,05_过滤,19.06618311111111,11742.09661047508,0.0016237460603161
2026-05-09 00:00:00+00:00,02_供水段,0.0,11742.09661047508,0.0
2026-05-09 00:00:00+00:00,07_污泥处理,0.0,11742.09661047508,0.0
2026-05-10 00:00:00+00:00,07_污泥处理,0.0,11400.294635555569,0.0
2026-05-10 00:00:00+00:00,02_供水段,0.0,11400.294635555569,0.0
2026-05-10 00:00:00+00:00,05_过滤,14.41716111111111,11400.294635555569,0.0012646305707
2026-05-10 00:00:00+00:00,03_预处理,90.190531,11400.294635555569,0.0079112456198027
2026-05-10 00:00:00+00:00,04_混凝沉淀,79.51680000000002,11400.294635555569,0.0069749776248765
2026-05-10 00:00:00+00:00,01_原水取水段,11194.049513444455,11400.294635555569,0.9819087901932052
2026-05-10 00:00:00+00:00,06_深度处理,22.12063,11400.294635555569,0.0019403559914153
2026-05-11 00:00:00+00:00,02_供水段,0.0,1210.7864289749334,0.0
2026-05-11 00:00:00+00:00,01_原水取水段,1193.5809716416002,1210.7864289749334,0.985789849537792
2026-05-11 00:00:00+00:00,03_预处理,7.62964,1210.7864289749334,0.006301392068343
2026-05-11 00:00:00+00:00,04_混凝沉淀,6.626400000000001,1210.7864289749334,0.0054728066332969
2026-05-11 00:00:00+00:00,06_深度处理,1.9045880000000004,1210.7864289749334,0.0015730173005097
2026-05-11 00:00:00+00:00,05_过滤,1.0448293333333332,1210.7864289749334,0.0008629344600582
2026-05-11 00:00:00+00:00,07_污泥处理,0.0,1210.7864289749334,0.0
