hour,PAM1_flow_L_h,PAM1_runtime_h,PAM1_chemical_kg,PAM1_carbon_kg,PAM2_flow_L_h,PAM2_runtime_h,PAM2_chemical_kg,PAM2_carbon_kg,PAM3_flow_L_h,PAM3_runtime_h,PAM3_chemical_kg,PAM3_carbon_kg,PAM4_flow_L_h,PAM4_runtime_h,PAM4_chemical_kg,PAM4_carbon_kg,PAM5_flow_L_h,PAM5_runtime_h,PAM5_chemical_kg,PAM5_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2026-04-19 00:00:00+00:00,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0
2026-04-26 00:00:00+00:00,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0
2026-05-03 00:00:00+00:00,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0
2026-05-10 00:00:00+00:00,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0
2026-05-17 00:00:00+00:00,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
