hour,PG1_runtime_h,PG1_power_kW,PG1_energy_kWh,PG1_carbon_kg,PG2_runtime_h,PG2_power_kW,PG2_energy_kWh,PG2_carbon_kg,PG3_runtime_h,PG3_power_kW,PG3_energy_kWh,PG3_carbon_kg,PG4_runtime_h,PG4_power_kW,PG4_energy_kWh,PG4_carbon_kg,PG6_runtime_h,PG6_power_kW,PG6_energy_kWh,PG6_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-04-19 00:00:00+00:00,0.0,0.0,0.0,0.0,102.95,41874.600392,41172.61983151111,21702.087913189505,0.0,0.0,0.0,0.0,168.0,82943.23421333333,82943.23421333333,43719.378753848,0.0,0.0,0.0,0.0,124115.85404484444,65421.46666703751
2026-04-26 00:00:00+00:00,86.78333333333333,18887.4336355,17897.497511975,9433.770938562022,135.61666666666667,74890.06739016666,74497.17627694723,39267.46161557888,28.966666666666665,18530.333542333334,18375.06076371389,9685.49452855359,64.11666666666666,31236.43385233333,30739.247728913888,16202.65747791051,0.0,0.0,0.0,0.0,141508.98228155,74589.384560605
2026-05-03 00:00:00+00:00,39.266666666666666,12048.233410333334,11676.69785145,6154.787437499295,98.65,51237.300812333335,51113.10525519167,26941.717780011528,126.38333333333334,63607.200637,63135.01285785555,33278.46527737566,0.0,0.0,0.0,0.0,109.25,29863.233603166667,29311.41470938333,15450.046693315957,155236.23067388055,81825.01718820244
2026-05-10 00:00:00+00:00,0.0,0.0,0.0,0.0,105.03333333333332,54029.4006145,53886.26450338889,28403.450019736283,48.11666666666667,19979.0669025,19644.726342766666,10354.73525527231,89.01666666666667,42711.6339005,42008.0422278,22142.43905827338,144.33333333333334,40148.766996833336,38587.55476696111,20339.500117665204,154126.58784091668,81240.12445094717
2026-05-17 00:00:00+00:00,0.0,0.0,0.0,0.0,2.0,860.6,860.6,453.62226,0.0,0.0,0.0,0.0,2.0,862.5333333333333,862.5333333333333,454.64132000000006,2.0,538.8666666666667,538.8666666666667,284.03662,2262.0,1192.3002
