summary_period,source_file,summary_level,row_count,start_time,end_time,PG1_runtime_h_sum,PG1_power_kW_sum,PG1_energy_kWh_sum,PG1_carbon_kg_sum,PG2_runtime_h_sum,PG2_power_kW_sum,PG2_energy_kWh_sum,PG2_carbon_kg_sum,PG3_runtime_h_sum,PG3_power_kW_sum,PG3_energy_kWh_sum,PG3_carbon_kg_sum,PG4_runtime_h_sum,PG4_power_kW_sum,PG4_energy_kWh_sum,PG4_carbon_kg_sum,PG6_runtime_h_sum,PG6_power_kW_sum,PG6_energy_kWh_sum,PG6_carbon_kg_sum,unit_total_energy_kWh_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,0.0,0.0,0.0,24.0,11016.666748166666,11016.666748166666,5806.88504295865,0.0,0.0,0.0,0.0,14.733333333333334,6090.233392,5790.033388466667,3051.92659906078,20.599999999999998,5280.066706833333,5192.983928855556,2737.2218288997633,21999.684065488887,11596.033470919194
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,83.03333333333333,40434.56709016667,40291.430979055556,21237.613269060184,48.11666666666667,19979.0669025,19644.726342766666,10354.73525527231,83.96666666666665,40465.433874,39766.52886796666,20960.937366305232,124.81666666666666,35185.40027666667,33680.41804911944,17752.94835369086,133383.10423890833,70306.23424432857
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,126.05,30935.667045833336,29574.195363425002,15588.558376061317,444.25,222891.96920899997,221529.76586703892,116768.3395885162,203.46666666666667,102116.60108183333,101154.7999643361,53318.69506120156,323.1333333333333,157753.83529949997,156553.05750338055,82519.11661003188,255.58333333333334,70550.86726666667,68437.83614301111,36073.58343098116,577249.6548411917,304268.29306679213
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,2465.366666666667,697786.7727178822,676326.6462242169,356491.77522478474,5082.325000000001,2638224.212641154,2612993.734774696,1377308.9975997424,3070.021939736346,1419431.5185856372,1397203.862809383,736466.1560868259,1840.9181159420289,819427.7652995223,804787.9107998202,424203.7077825852,3550.1833333333334,1001620.9913494333,981638.1954958932,517421.49284588534,6472950.35010401,3411892.1295398236
