summary_period,source_file,summary_level,row_count,start_time,end_time,YCY_GS1_runtime_h_sum,YCY_GS1_power_kW_sum,YCY_GS1_energy_kWh_sum,YCY_GS1_carbon_kg_sum,ZYB1_runtime_h_sum,ZYB1_power_kW_sum,ZYB1_energy_kWh_sum,ZYB1_carbon_kg_sum,ZYB2_runtime_h_sum,ZYB2_power_kW_sum,ZYB2_energy_kWh_sum,ZYB2_carbon_kg_sum,ZYB3_runtime_h_sum,ZYB3_power_kW_sum,ZYB3_energy_kWh_sum,ZYB3_carbon_kg_sum,ZYB4_runtime_h_sum,ZYB4_power_kW_sum,ZYB4_energy_kWh_sum,ZYB4_carbon_kg_sum,ZYB5_runtime_h_sum,ZYB5_power_kW_sum,ZYB5_energy_kWh_sum,ZYB5_carbon_kg_sum,YCYPHQ1_runtime_h_sum,YCYPHQ1_power_kW_sum,YCYPHQ1_energy_kWh_sum,YCYPHQ1_carbon_kg_sum,YCYPHQ2_runtime_h_sum,YCYPHQ2_power_kW_sum,YCYPHQ2_energy_kWh_sum,YCYPHQ2_carbon_kg_sum,unit_total_energy_kWh_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,3.833333333333333,51.42857142857143,8.214285714285715,4.329749999999999,0.0,182.32044198895028,0.0,0.0,0.0,182.32044198895028,0.0,0.0,0.0,182.32044198895028,0.0,0.0,0.0,182.32044198895028,0.0,0.0,0.0,182.32044198895028,0.0,0.0,0.0,606.060606060606,0.0,0.0,0.0,606.060606060606,0.0,0.0,8.214285714285715,4.329749999999999
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,19.583333333333332,312.8571428571429,41.964285714285715,22.119374999999998,0.0,1109.1160220994475,0.0,0.0,0.0,1109.1160220994475,0.0,0.0,0.0,1109.1160220994475,0.0,0.0,0.0,1109.1160220994475,0.0,0.0,0.0,1109.1160220994475,0.0,0.0,0.0,3686.8686868686864,0.0,0.0,0.0,3686.8686868686864,0.0,0.0,41.964285714285715,22.119374999999998
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,89.13333333333333,1444.2857142857142,190.99999999999997,100.6761,0.0,5120.165745856354,0.0,0.0,0.0,5120.165745856354,0.0,0.0,0.0,5120.165745856354,0.0,0.0,0.0,5120.165745856354,0.0,0.0,0.0,5120.165745856354,0.0,0.0,0.0,17020.202020202018,0.0,0.0,0.0,17020.202020202018,0.0,0.0,190.99999999999997,100.6761
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,1057.3241970351382,17196.42857142857,2265.694707932439,1194.247680551189,0.0,60963.39779005524,0.0,0.0,0.0,60963.39779005524,0.0,0.0,0.0,60963.39779005524,0.0,0.0,0.0,60963.39779005524,0.0,0.0,0.0,60963.39779005524,0.0,0.0,0.0,202651.51515151514,0.0,0.0,0.0,202651.51515151514,0.0,0.0,2265.694707932439,1194.247680551189
