hour,NaClO_P1_flow_L_h,NaClO_P1_runtime_h,NaClO_P1_chemical_kg,NaClO_P1_carbon_kg,NaClO_P2_flow_L_h,NaClO_P2_runtime_h,NaClO_P2_chemical_kg,NaClO_P2_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,0.1506816666666666,1.0,0.1823248166666667,0.1166878826666666,0.5462801666666667,1.0,0.6609990016666667,0.4230393610666667,0.8433238183333334,0.5397272437333334
2026-05-10 03:00:00+00:00,0.161984,1.0,0.19600064,0.1254404096,0.595259,1.0,0.72026339,0.4609685696,0.91626403,0.5864089792
2026-05-10 04:00:00+00:00,0.1958935,1.0,0.237031135,0.1516999264,0.5538155,1.0,0.670116755,0.4288747232,0.90714789,0.5805746496
2026-05-10 05:00:00+00:00,0.1808233333333333,1.0,0.2187962333333333,0.1400295893333333,0.5199073333333334,1.0,0.6290878733333334,0.4026162389333333,0.8478841066666667,0.5426458282666667
2026-05-10 06:00:00+00:00,0.1431461666666666,1.0,0.1732068616666666,0.1108523914666666,0.5312098333333333,1.0,0.6427638983333333,0.4113688949333333,0.8159707599999999,0.5222212864
2026-05-10 07:00:00+00:00,0.0903995,1.0,0.109383395,0.0700053728,0.6065623333333333,1.0,0.7339404233333333,0.4697218709333333,0.8433238183333334,0.5397272437333334
2026-05-10 08:00:00+00:00,0.177055,1.0,0.21423655,0.137111392,0.5274426666666667,1.0,0.6382056266666667,0.4084516010666666,0.8524421766666668,0.5455629930666667
2026-05-10 09:00:00+00:00,0.1431466666666666,1.0,0.1732074666666666,0.1108527786666666,0.6216316666666667,1.0,0.7521743166666667,0.4813915626666666,0.9253817833333332,0.5922443413333334
2026-05-10 10:00:00+00:00,0.1506818333333333,1.0,0.1823250183333333,0.1166880117333333,0.5387453333333333,1.0,0.6518818533333333,0.4172043861333332,0.8342068716666666,0.5338923978666666
2026-05-10 11:00:00+00:00,0.2448726666666666,1.0,0.2962959266666666,0.1896293930666666,0.6216318333333334,1.0,0.7521745183333334,0.4813916917333333,1.048470445,0.6710210848
2026-05-10 12:00:00+00:00,0.1280761666666666,1.0,0.1549721616666666,0.0991821834666666,0.5274423333333333,1.0,0.6382052233333333,0.4084513429333333,0.7931773849999999,0.5076335263999999
2026-05-10 13:00:00+00:00,0.1732876666666666,1.0,0.2096780766666666,0.1341939690666666,0.527442,1.0,0.6382048199999999,0.4084510847999999,0.8478828966666665,0.5426450538666666
2026-05-10 14:00:00+00:00,0.1619846666666666,1.0,0.1960014466666666,0.1254409258666666,0.6065616666666667,1.0,0.7339396166666666,0.4697213546666666,0.9299410633333332,0.5951622805333333
2026-05-10 15:00:00+00:00,0.135612,1.0,0.16409052,0.1050179328,0.54628,1.0,0.6609988,0.423039232,0.82508932,0.5280571648
2026-05-10 16:00:00+00:00,0.1280763333333333,1.0,0.1549723633333333,0.0991823125333333,0.5839563333333333,1.0,0.7065871633333333,0.4522157845333333,0.8615595266666666,0.5513980970666666
2026-05-10 17:00:00+00:00,0.1243081666666666,1.0,0.1504128816666666,0.0962642442666666,0.5236745,1.0,0.633646145,0.4055335328,0.7840590266666667,0.5017977770666667
2026-05-10 18:00:00+00:00,0.131844,1.0,0.15953124,0.1020999936,0.550048,1.0,0.6655580799999999,0.4259571712,0.82508932,0.5280571648
2026-05-10 19:00:00+00:00,0.1506816666666666,1.0,0.1823248166666667,0.1166878826666666,0.5613505,1.0,0.6792341049999999,0.4347098271999999,0.8615589216666666,0.5513977098666667
2026-05-10 20:00:00+00:00,0.173287,1.0,0.20967727,0.1341934528,0.5538150000000001,1.0,0.67011615,0.428874336,0.87979342,0.5630677888000001
2026-05-10 21:00:00+00:00,0.1845901666666666,1.0,0.2233541016666666,0.1429466250666666,0.561351,1.0,0.67923471,0.4347102144,0.9025888116666668,0.5776568394666667
2026-05-10 22:00:00+00:00,0.1619845,1.0,0.196001245,0.1254407968,0.5387451666666667,1.0,0.6518816516666667,0.4172042570666667,0.8478828966666667,0.5426450538666667
2026-05-10 23:00:00+00:00,0.1845906666666666,1.0,0.2233547066666666,0.1429470122666666,0.5387455,1.0,0.651882055,0.4172045151999999,0.8752367616666666,0.5601515274666666
2026-05-11 00:00:00+00:00,0.2222666666666666,1.0,0.2689426666666666,0.1721233066666666,0.5349773333333334,1.0,0.6473225733333334,0.4142864469333334,0.91626524,0.5864097536
2026-05-11 01:00:00+00:00,0.241105,1.0,0.29173705,0.186711712,0.65554,1.0,0.7932034,0.5076501760000001,1.08494045,0.6943618880000001
