hour,NaClO_P1_flow_L_h,NaClO_P1_runtime_h,NaClO_P1_chemical_kg,NaClO_P1_carbon_kg,NaClO_P2_flow_L_h,NaClO_P2_runtime_h,NaClO_P2_chemical_kg,NaClO_P2_carbon_kg,unit_total_chemical_kg,unit_total_carbon_kg
2025-06-30 00:00:00+00:00,8169.609530565741,720.0,9885.227531984548,6326.5456204701095,444.32501176242937,720.0,537.6332642325395,344.0852891088253,10422.860796217086,6670.630909578935
2025-07-31 00:00:00+00:00,67.32912044239424,571.0,81.46823573529703,52.1396708705901,331.4100420001165,571.0,401.006150820141,256.64393652489025,482.474386555438,308.7836073954803
2025-08-31 00:00:00+00:00,102.05522991666668,744.0,123.48682819916668,79.03157004746667,421.3936847666666,744.0,509.88635856766666,326.3272694833067,633.3731867668333,405.3588395307733
2025-09-30 00:00:00+00:00,167.0257613460452,720.0,202.1011712287147,129.3447495863774,497.813461279096,720.0,602.3542881477061,385.506744414532,804.4554593764209,514.8514940009094
2025-10-31 00:00:00+00:00,112.51408163433938,737.0,136.14203877755065,87.13090481763241,441.74606900417706,737.0,534.5127434950542,342.08815583683474,670.6547822726048,429.2190606544672
2025-11-30 00:00:00+00:00,297.92309279647066,672.0,360.4869422837295,230.71164306158687,535.4077455725959,672.0,647.8433721428411,414.6197581714183,1008.3303144265706,645.3314012330052
2025-12-31 00:00:00+00:00,145.9707485,744.0,176.624605685,113.0397476384,438.09531383333336,744.0,530.0953297383334,339.2610110325333,706.7199354233334,452.30075867093336
2026-01-31 00:00:00+00:00,241.822444,744.0,292.60515724,187.2673006336,654.0166526133333,744.0,791.3601496621334,506.4704957837654,1083.9653069021333,693.7377964173654
2026-02-28 00:00:00+00:00,1746.939157321667,672.0,2113.796380359217,1352.8296834298988,1191.9188129466668,672.0,1442.2217636654666,923.0219287458988,3556.018144024684,2275.851612175797
2026-03-31 00:00:00+00:00,10648.386172520575,744.0,12884.5472687499,8246.110251999935,16840.237600234464,744.0,20376.687496283703,13041.07999762157,33261.2347650336,21287.190249621504
2026-04-30 00:00:00+00:00,121.47411433333332,720.0,146.98367834333334,94.06955413973334,420.1960251666667,720.0,508.43719045166665,325.3998018890667,655.420868795,419.4693560288
2026-05-31 00:00:00+00:00,41.58142633333333,242.0,50.31352586333333,32.20065655253333,138.4540215,242.0,167.529366015,107.2187942496,217.84289187833332,139.41945080213333
