hour,MUDP1_runtime_h,MUDP1_power_kW,MUDP1_energy_kWh,MUDP1_carbon_kg,MUDP2_runtime_h,MUDP2_power_kW,MUDP2_energy_kWh,MUDP2_carbon_kg,MUDP3_runtime_h,MUDP3_power_kW,MUDP3_energy_kWh,MUDP3_carbon_kg,MUDP4_runtime_h,MUDP4_power_kW,MUDP4_energy_kWh,MUDP4_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-05-05 00:00:00+00:00,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0
2026-05-06 00:00:00+00:00,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0
2026-05-07 00:00:00+00:00,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0
2026-05-08 00:00:00+00:00,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0
2026-05-09 00:00:00+00:00,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0
2026-05-10 00:00:00+00:00,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0
2026-05-11 00:00:00+00:00,0.0,29.33333333333333,0.0,0.0,0.0,29.33333333333333,0.0,0.0,0.0,29.33333333333333,0.0,0.0,0.0,29.33333333333333,0.0,0.0,0.0,0.0
