summary_period,source_file,summary_level,row_count,start_time,end_time,MUDP1_runtime_h_sum,MUDP1_power_kW_sum,MUDP1_energy_kWh_sum,MUDP1_carbon_kg_sum,MUDP2_runtime_h_sum,MUDP2_power_kW_sum,MUDP2_energy_kWh_sum,MUDP2_carbon_kg_sum,MUDP3_runtime_h_sum,MUDP3_power_kW_sum,MUDP3_energy_kWh_sum,MUDP3_carbon_kg_sum,MUDP4_runtime_h_sum,MUDP4_power_kW_sum,MUDP4_energy_kWh_sum,MUDP4_carbon_kg_sum,unit_total_energy_kWh_sum,unit_total_carbon_kg_sum
latest_24h_hourly,hourly.csv,total,24,2026-05-10 02:00:00+00:00,2026-05-11 01:00:00+00:00,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0
latest_7d_daily,daily.csv,total,7,2026-05-05 00:00:00+00:00,2026-05-11 00:00:00+00:00,0.0,2141.3333333333335,0.0,0.0,0.0,2141.3333333333335,0.0,0.0,0.0,2141.3333333333335,0.0,0.0,0.0,2141.3333333333335,0.0,0.0,0.0,0.0
latest_5w_weekly,weekly.csv,total,5,2026-04-19 00:00:00+00:00,2026-05-17 00:00:00+00:00,2.35,9885.333333333334,34.46666666666667,18.16738,4.95,9885.333333333334,72.6,38.26746,0.0,9885.333333333334,0.0,0.0,0.0,9885.333333333334,0.0,0.0,107.06666666666666,56.43484
latest_12m_monthly,monthly.csv,total,12,2025-06-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,65.18333333333334,117538.66666666666,956.0222222222222,503.9193133333333,276.15,117538.66666666666,4050.2000000000003,2134.86042,0.0,117538.66666666666,0.0,0.0,0.0,117538.66666666666,0.0,0.0,5006.222222222223,2638.7797333333333
