hour,MUDP1_runtime_h,MUDP1_power_kW,MUDP1_energy_kWh,MUDP1_carbon_kg,MUDP2_runtime_h,MUDP2_power_kW,MUDP2_energy_kWh,MUDP2_carbon_kg,MUDP3_runtime_h,MUDP3_power_kW,MUDP3_energy_kWh,MUDP3_carbon_kg,MUDP4_runtime_h,MUDP4_power_kW,MUDP4_energy_kWh,MUDP4_carbon_kg,unit_total_energy_kWh,unit_total_carbon_kg
2026-05-10 02:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 03:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 04:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 05:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 06:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 07:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 08:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 09:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 10:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 11:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 12:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 13:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 14:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 15:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 16:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 17:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 18:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 19:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 20:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 21:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 22:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-10 23:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-11 00:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
2026-05-11 01:00:00+00:00,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,14.666666666666666,0.0,0.0,0.0,0.0
