period_start,scope1_carbon_kg,scope2_carbon_kg,scope3_carbon_kg,total_carbon_kg,total_carbon_t,scope1_share,scope2_share,scope3_share
2025-06-30 00:00:00+00:00,26.335342350603803,322852.058098072,158402.37049579434,481280.76393621694,481.28076393621694,5.471929136584808e-05,0.6708185373077966,0.3291267434008375
2025-07-31 00:00:00+00:00,20.83375665553749,303958.455565385,53828.88050879502,357808.16983083554,357.80816983083554,5.8226050750566335e-05,0.8495011606612851,0.1504406132879644
2025-08-31 00:00:00+00:00,27.14857236432081,433638.2899535639,20907.30203008996,454572.7405560181,454.5727405560181,5.972327405975463e-05,0.9539469732020271,0.0459933035239131
2025-09-30 00:00:00+00:00,26.27281237426225,412536.7965545444,50098.90452713541,462661.9738940541,462.6619738940541,5.6786193499184166e-05,0.8916591806375944,0.1082840331689062
2025-10-31 00:00:00+00:00,25.68269624565912,362390.9204505526,30796.449921918007,393213.05306871625,393.21305306871625,6.531496359346676e-05,0.9216146758668836,0.078320009169523
2025-11-30 00:00:00+00:00,24.51601260195371,352841.7856282152,47192.49048357006,400058.7921243872,400.05879212438725,6.12810244008614e-05,0.8819748311355916,0.1179638878400074
2025-12-31 00:00:00+00:00,27.141833578434667,510421.5155397744,103238.43182578616,613687.0891991389,613.6870891991389,4.422748018677521e-05,0.8317292713553319,0.1682265011644814
2026-01-31 00:00:00+00:00,27.14417366258533,464614.4899218133,32596.09603869773,497237.7301341737,497.23773013417366,5.458993157108332e-05,0.934391060381606,0.0655543496868229
2026-02-28 00:00:00+00:00,24.516018612444,285072.70140994526,8682.155101292177,293779.3725298499,293.77937252984987,8.345044242326107e-05,0.9703632319555724,0.0295533176020042
2026-03-31 00:00:00+00:00,27.142644077715502,544703.5896630043,33173.27993295484,577904.0122400369,577.9040122400369,4.696739164780465e-05,0.9425502819259844,0.0574027506823677
2026-04-30 00:00:00+00:00,26.26819324201333,459189.1855736915,9530.316835195466,468745.770602129,468.74577060212897,5.60393178764481e-05,0.9796124346547992,0.0203315260273245
2026-05-31 00:00:00+00:00,8.828169304577333,137153.3786401336,909.273307656972,138071.48011709517,138.07148011709518,6.393912267102786e-05,0.9933505349824384,0.0065855258948903
